species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.252, 0.097, 0, 0, 0, 0, 0.013
AABM5X2, 1, 0, 0.045, 0.255, 1, 0, 1, 0.207, 0.806
AABM5X3, 1, 0.004, 0.041, 0.373, 1, 0, 1, 0.193, 0.819
Abys1, 1, 0.004, 0.876, 0.71, 1, 0, 1, 0.12, 0.892
Acid1, 0, 0, 0.029, 0.029, 0, 0, 0, 0, 0.019
Acid10, 1, 0, 0.025, 0.065, 1, 0, 1, 0.763, 0.256
Acid11, 1, 0.001, 0.185, 0.101, 1, 0, 1, 0.169, 0.84
Acid12, 1, 0.003, 0.03, 0.336, 1, 0, 1, 0.199, 0.818
Acid13, 0, 0, 0.222, 0.081, 0, 0, 0, 0, 0.013
Acid14, 0, 0, 0.022, 0.023, 0, 0, 0, 0, 0.012
Acid16, 0, 0, 0.134, 0.046, 0, 0, 0, 0, 0.014
Acid17, 0, 0, 0.026, 0.028, 0, 0, 0, 0, 0.016
Acid18, 1, 0.005, 0.043, 0.524, 1, 0, 1, 0.224, 0.793
Acid2, 0, 0, 0.269, 0.1, 0, 0, 0, 0, 0.024
Acid20, 0, 0, 0.022, 0.022, 0, 0, 0, 0, 0.017
Acid21, 0, 0, 0.02, 0.016, 0, 0, 0, 0, 0.014
Acid22, 1, 0, 0.032, 0.039, 1, 0, 1, 0.767, 0.244
Acid23, 0, 0, 0.064, 0.027, 0, 0, 0, 0, 0.009
Acid24, 0, 0, 0.07, 0.03, 0, 0, 0, 0, 0.017
Acid25, 0, 0, 0.02, 0.021, 0, 0, 0, 0, 0.014
Acid26, 0, 0, 0.024, 0.028, 0, 0, 0, 0, 0.019
Acid27, 0, 0, 0.023, 0.018, 0, 0, 0, 0, 0.012
Acid28, 1, 0.003, 0.027, 0.203, 1, 0, 1, 0.245, 0.769
Acid29, 0, 0, 0.029, 0.026, 0, 0, 0, 0, 0.018
Acid3, 0, 0, 0.025, 0.025, 0, 0, 0, 0, 0.015
Acid30, 0, 0, 0.022, 0.021, 0, 0, 0, 0, 0.017
Acid31, 1, 0.001, 0.19, 0.315, 1, 0, 1, 0.168, 0.845
Acid32, 0, 0, 0.021, 0.019, 0, 0, 0, 0, 0.016
Acid33, 1, 0.002, 0.013, 0.221, 1, 0, 1, 0.231, 0.776
Acid34, 0, 0, 0.049, 0.035, 0, 0, 0, 0, 0.02
Acid35, 0, 0, 0.054, 0.041, 0, 0, 0, 0, 0.011
Acid36, 0, 0, 0.02, 0.02, 0, 0, 0, 0, 0.011
Acid37, 0, 0, 0.019, 0.021, 0, 0, 0, 0, 0.014
Acid38, 0, 0, 0.02, 0.019, 0, 0, 0, 0, 0.011
Acid39, 0, 0, 0.053, 0.031, 0, 0, 0, 0, 0.01
Acid4, 0, 0, 0.047, 0.044, 0, 0, 0, 0, 0.017
Acid40, 0, 0, 0.022, 0.023, 0, 0, 0, 0, 0.017
Acid5, 0, 0, 0.032, 0.026, 0, 0, 0, 0, 0.013
Acid6, 0, 0, 0.266, 0.066, 0, 0, 0, 0, 0.011
Acid7, 0, 0, 0.025, 0.023, 0, 0, 0, 0, 0.015
Acid8, 1, 0.002, 0.357, 0.506, 1, 0, 1, 0.194, 0.822
Acid9, 1, 0.003, 0.052, 0.303, 1, 0, 1, 0.392, 0.617
Acti10, 1, 0, 0.018, 0.021, 1, 0, 1, 0.985, 0.026
Acti11, 1, 0, 0.219, 0.051, 1, 0, 1, 0.003, 1.017
Acti12, 0, 0, 0.023, 0.025, 0, 0, 0, 0, 0.016
Acti13, 1, 0, 0.022, 0.023, 1, 0, 1, 1, 0.018
Acti14, 1, 0.002, 0.032, 1.014, 1, 0, 1, 0.991, 0.02
Acti15, 1, 0, 0.013, 0.062, 1, 0, 1, 0.036, 0.972
Acti16, 1, 0, 0.031, 0.03, 1, 0, 1, 0.999, 0.021
Acti18, 1, 0, 0.03, 0.034, 1, 0, 1, 0.998, 0.02
Acti19, 1, 0, 0.01, 0.01, 1, 0, 1, 0.999, 0.007
