species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.018, 0.017, 0, 0, 0, 0, 0.012
AABM5X2, 0, 0, 0.023, 0.029, 0, 0, 0, 0, 0.017
AABM5X3, 0, 0, 0.012, 0.014, 0, 0, 0, 0, 0.012
Abys1, 0, 0, 0.023, 0.019, 0, 0, 0, 0, 0.014
Acid1, 0, 0, 0.03, 0.026, 0, 0, 0, 0, 0.017
Acid10, 0, 0, 0.123, 0.028, 0, 0, 0, 0, 0.015
Acid11, 1, 0.003, 0.025, 0.322, 1, 0, 1, 0.162, 0.854
Acid12, 1, 0, 0.023, 0.027, 1, 0, 1, 0.168, 0.85
Acid13, 0, 0, 0.18, 0.014, 0, 0, 0, 0, 0.007
Acid14, 1, 0.003, 0.242, 0.268, 1, 0, 1, 0.551, 0.465
Acid16, 0, 0, 0.134, 0.057, 0, 0, 0, 0, 0.025
Acid17, 0, 0, 0.022, 0.015, 0, 0, 0, 0, 0.009
Acid18, 0, 0, 0.037, 0.045, 0, 0, 0, 0, 0.024
Acid2, 0, 0, 0.037, 0.034, 0, 0, 0, 0, 0.024
Acid20, 1, 0.001, 0.034, 0.032, 1, 0, 1, 0.999, 0.013
Acid21, 0, 0, 0.016, 0.016, 0, 0, 0, 0, 0.012
Acid22, 0, 0, 0.025, 0.023, 0, 0, 0, 0, 0.015
Acid23, 0, 0, 0.043, 0.021, 0, 0, 0, 0, 0.014
Acid24, 0, 0, 0.021, 0.024, 0, 0, 0, 0, 0.012
Acid25, 0, 0, 0.043, 0.018, 0, 0, 0, 0, 0.012
Acid26, 1, 0, 0.016, 0.051, 1, 0, 1, 0.173, 0.838
Acid27, 0, 0, 0.015, 0.014, 0, 0, 0, 0, 0.012
Acid28, 1, 0.005, 0.6, 0.499, 1, 0, 1, 0.274, 0.739
Acid29, 0, 0, 0.015, 0.021, 0, 0, 0, 0, 0.012
Acid3, 1, 0.002, 0.574, 0.3, 1, 0, 1, 0.208, 0.798
Acid30, 0, 0, 0.022, 0.023, 0, 0, 0, 0, 0.019
Acid31, 0, 0, 0.184, 0.066, 0, 0, 0, 0, 0.016
Acid32, 0, 0, 0.188, 0.032, 0, 0, 0, 0, 0.01
Acid33, 0, 0, 0.016, 0.014, 0, 0, 0, 0, 0.01
Acid34, 0, 0, 0.018, 0.022, 0, 0, 0, 0, 0.01
Acid35, 0, 0, 0.234, 0.059, 0, 0, 0, 0, 0.011
Acid36, 1, 0, 0.018, 0.017, 1, 0, 1, 1, 0.011
Acid37, 0, 0, 0.016, 0.016, 0, 0, 0, 0, 0.013
Acid38, 1, 0, 0.017, 0.015, 1, 0, 1, 1, 0.01
Acid39, 1, 0, 0.059, 0.126, 1, 0, 1, 0.181, 0.836
Acid4, 1, 0, 0.155, 0.055, 1, 0, 1, 0.013, 1.003
Acid40, 1, 0, 0.033, 0.025, 1, 0, 1, 0.998, 0.013
Acid5, 0, 0, 0.03, 0.03, 0, 0, 0, 0, 0.017
Acid6, 1, 0.006, 0.309, 0.296, 1, 0, 1, 0.569, 0.447
Acid7, 0, 0, 0.28, 0.04, 0, 0, 0, 0, 0.012
Acid8, 0, 0, 0.238, 0.088, 0, 0, 0, 0, 0.022
Acid9, 1, 0.003, 0.033, 0.227, 1, 0, 1, 0.263, 0.755
Acti10, 1, 0.002, 0.277, 0.574, 1, 0, 1, 0.909, 0.105
Acti11, 1, 0.007, 0.064, 0.732, 1, 0, 1, 0.15, 0.862
Acti12, 1, 0, 0.044, 0.037, 1, 0, 1, 1, 0.014
Acti13, 0, 0, 0.043, 0.028, 0, 0, 0, 0, 0.024
Acti14, 0, 0, 1.016, 0.015, 0, 0, 0, 0, 0.012
Acti15, 1, 0, 0.059, 0.048, 1, 0, 1, 0.86, 0.151
Acti16, 0, 0, 0.023, 0.02, 0, 0, 0, 0, 0.009
Acti18, 0, 0, 0.031, 0.032, 0, 0, 0, 0, 0.017
Acti19, 0, 0, 0.158, 0.013, 0, 0, 0, 0, 0.01
Acti2, 0, 0.001, 0.034, 0.039, 0, 0, 0, 0, 0.026
Acti20, 0, 0, 0.017, 0.022, 0, 0, 0, 0, 0.015
Acti21, 1, 0, 0.038, 0.031, 1, 0, 1, 1, 0.008
Acti22, 0, 0, 0.211, 0.087, 0, 0, 0, 0, 0.016
Acti23, 1, 0, 0.011, 0.014, 1, 0, 1, 0.143, 0.863
Acti24, 0, 0, 0.026, 0.021, 0, 0, 0, 0, 0.012
Acti25, 1, 0.006, 0.037, 0.657, 1, 0, 1, 0.907, 0.098
Acti26, 0, 0, 0.361, 0.059, 0, 0, 0, 0, 0.011
Acti27, 0, 0, 0.017, 0.019, 0, 0, 0, 0, 0.016
Acti28, 3, 1.254, 1.245, 0.75, 1, 0, 3, 0.483, 0.728
Acti29, 0, 0, 0.018, 0.025, 0, 0, 0, 0, 0.016
Acti3, 1, 0.008, 0.947, 0.794, 1, 0, 1, 0.245, 0.769
Acti30, 0, 0, 0.014, 0.013, 0, 0, 0, 0, 0.009
Acti31, 0, 0.005, 0.959, 0.394, 0, 0, 0, 0, 0.01
Acti32, 1, 0, 0.014, 0.011, 1, 0, 1, 1, 0.007
Acti33, 1, 0.002, 1.002, 0.336, 1, 0, 1, 0.241, 0.769
Acti34, 1, 0, 0.038, 0.032, 1, 0, 1, 1, 0.018
Acti35, 1, 0, 0.253, 0.083, 1, 0, 1, 0.987, 0.022
Acti36, 1, 0, 0.256, 0.108, 1, 0, 1, 0.021, 0.993
Acti37, 1, 0, 0.794, 0.123, 1, 0, 1, 0.946, 0.067
Acti38, 1, 0.002, 0.026, 0.315, 1, 0, 1, 0.998, 0.007
Acti39, 0, 0, 0.086, 0.052, 0, 0, 0, 0, 0.014
Acti4, 0, 0, 0.052, 0.048, 0, 0, 0, 0, 0.022
Acti40, 0, 0, 0.142, 0.021, 0, 0, 0, 0, 0.008
Acti41, 1, 0, 0.991, 0.172, 1, 0, 1, 0.724, 0.288
Acti42, 0, 0, 0.033, 0.032, 0, 0, 0, 0, 0.018
Acti43, 2, 0.003, 0.081, 0.604, 1, 0, 2, 0.194, 1.815
Acti44, 0, 0, 0.719, 0.039, 0, 0, 0, 0, 0.011
Acti45, 1, 0.002, 1.045, 0.729, 1, 0, 1, 0.142, 0.878
Acti46, 1, 0, 0.744, 0.115, 1, 0, 1, 0.967, 0.041
Acti47, 1, 0.006, 0.186, 0.383, 1, 0, 1, 0.985, 0.015
Acti48, 1, 0.001, 0.177, 0.106, 1, 0, 1, 0.874, 0.135
Acti49, 1, 0, 0.018, 0.018, 1, 0, 1, 1, 0.011
Acti5, 0, 0, 0.027, 0.026, 0, 0, 0, 0, 0.018
Acti50, 2, 0.004, 1.065, 0.795, 1, 0, 2, 1.213, 0.798
Acti51, 0, 0, 0.011, 0.012, 0, 0, 0, 0, 0.01
Acti52, 1, 0, 0.032, 0.049, 1, 0, 1, 0.692, 0.324
Acti6, 1, 0, 0.018, 0.02, 1, 0, 1, 0.999, 0.014
Acti7, 1, 0.005, 0.123, 0.325, 1, 0, 1, 0.959, 0.048
Acti8, 0, 0, 0.029, 0.025, 0, 0, 0, 0, 0.015
Acti9, 0, 0, 0.015, 0.016, 0, 0, 0, 0, 0.013
Aero1, 0, 0, 0.03, 0.042, 0, 0, 0, 0, 0.022
Aqui1, 0, 0, 0.011, 0.012, 0, 0, 0, 0, 0.004
Aqui2, 0, 0, 0.025, 0.024, 0, 0, 0, 0, 0.018
Aqui3, 0, 0, 0.019, 0.023, 0, 0, 0, 0, 0.013
Aqui4, 0, 0, 0.021, 0.024, 0, 0, 0, 0, 0.015
Aqui5, 0, 0, 0.022, 0.025, 0, 0, 0, 0, 0.017
Aqui6, 0, 0, 0.023, 0.024, 0, 0, 0, 0, 0.017
Arma11, 0, 0, 0.02, 0.017, 0, 0, 0, 0, 0.013
Arma12, 1, 0, 0.015, 0.027, 1, 0, 1, 0.02, 0.994
Arma13, 0, 0, 0.051, 0.043, 0, 0, 0, 0, 0.016
Arma14, 0, 0, 0.023, 0.021, 0, 0, 0, 0, 0.018
Arma15, 0, 0, 0.05, 0.038, 0, 0, 0, 0, 0.015
Arma16, 0, 0, 0.026, 0.021, 0, 0, 0, 0, 0.008
Arma3, 0, 0, 0.036, 0.039, 0, 0, 0, 0, 0.025
Arma4, 0, 0, 0.02, 0.02, 0, 0, 0, 0, 0.015
