species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.014, 0.012, 0, 0, 0, 0, 0.009
AABM5X2, 0, 0, 0.016, 0.018, 0, 0, 0, 0, 0.011
AABM5X3, 0, 0, 0.011, 0.015, 0, 0, 0, 0, 0.01
Abys1, 1, 0, 0.424, 0.256, 1, 0, 1, 0.707, 0.309
Acid1, 1, 0.001, 0.028, 0.325, 1, 0, 1, 0.225, 0.793
Acid10, 1, 0.001, 0.075, 0.307, 1, 0, 1, 0.31, 0.696
Acid11, 1, 0, 0.019, 0.422, 1, 0, 1, 0.168, 0.846
Acid12, 0, 0, 0.021, 0.025, 0, 0, 0, 0, 0.013
Acid13, 0, 0, 0.017, 0.016, 0, 0, 0, 0, 0.009
Acid14, 1, 0.001, 0.273, 0.299, 1, 0, 1, 0.33, 0.681
Acid16, 1, 0.003, 0.07, 0.381, 1, 0, 1, 0.002, 1.008
Acid17, 0, 0, 0.247, 0.086, 0, 0, 0, 0, 0.013
Acid18, 0, 0, 0.024, 0.028, 0, 0, 0, 0, 0.015
Acid2, 0, 0, 0.031, 0.035, 0, 0, 0, 0, 0.022
Acid20, 1, 0, 0.011, 0.011, 1, 0, 1, 1, 0.007
Acid21, 1, 0.001, 0.054, 0.231, 1, 0, 1, 0.317, 0.702
Acid22, 1, 0.002, 0.044, 0.118, 1, 0, 1, 0.264, 0.75
Acid23, 1, 0, 0.016, 0.301, 1, 0, 1, 0.239, 0.772
Acid24, 0, 0, 0.104, 0.048, 0, 0, 0, 0, 0.019
Acid25, 0, 0, 0.04, 0.043, 0, 0, 0, 0, 0.018
Acid26, 0, 0, 0.018, 0.013, 0, 0, 0, 0, 0.005
Acid27, 0, 0, 0.025, 0.023, 0, 0, 0, 0, 0.012
Acid28, 0, 0, 0.035, 0.026, 0, 0, 0, 0, 0.013
Acid29, 0, 0, 0.021, 0.018, 0, 0, 0, 0, 0.008
Acid3, 1, 0, 0.346, 0.329, 1, 0, 1, 0.254, 0.755
Acid30, 1, 0.001, 0.054, 0.074, 1, 0, 1, 0.155, 0.856
Acid31, 0, 0, 0.182, 0.099, 0, 0, 0, 0, 0.009
Acid32, 0, 0, 0.023, 0.022, 0, 0, 0, 0, 0.01
Acid33, 1, 0.002, 0.02, 0.69, 1, 0, 1, 0.325, 0.68
Acid34, 0, 0, 0.065, 0.044, 0, 0, 0, 0, 0.013
Acid35, 0, 0, 0.543, 0.145, 0, 0, 0, 0, 0.017
Acid36, 1, 0, 0.017, 0.015, 1, 0, 1, 0.999, 0.012
Acid37, 0, 0, 0.209, 0.056, 0, 0, 0, 0, 0.012
Acid38, 1, 0, 0.023, 0.023, 1, 0, 1, 0.999, 0.018
Acid39, 1, 0.002, 0.014, 0.307, 1, 0, 1, 0.52, 0.486
Acid4, 1, 0, 0.108, 0.042, 1, 0, 1, 0.168, 0.846
Acid40, 1, 0, 0.014, 0.013, 1, 0, 1, 1, 0.01
Acid5, 0, 0, 0.142, 0.041, 0, 0, 0, 0, 0.012
Acid6, 1, 0, 0.018, 0.018, 1, 0, 1, 0.008, 0.996
Acid7, 1, 0, 0.084, 0.034, 1, 0, 1, 0.191, 0.822
Acid8, 0, 0, 0.375, 0.128, 0, 0, 0, 0, 0.022
Acid9, 0, 0, 0.371, 0.113, 0, 0, 0, 0, 0.02
Acti10, 1, 0, 0.017, 0.09, 1, 0, 1, 0.855, 0.153
Acti11, 1, 0, 0.019, 0.017, 1, 0, 1, 0.998, 0.015
Acti12, 4, 0.955, 0.021, 0.569, 1, 0, 4, 1.394, 1.491
Acti13, 1, 0, 0.084, 0.033, 1, 0, 1, 1, 0.013
Acti14, 1, 0, 0.019, 0.05, 1, 0, 1, 0.194, 0.817
Acti15, 1, 0, 0.019, 0.011, 1, 0, 1, 0.998, 0.01
Acti16, 1, 0.001, 0.023, 0.262, 1, 0, 1, 0.244, 0.765
Acti18, 0, 0, 0.27, 0.063, 0, 0, 0, 0, 0.013
Acti19, 1, 0, 0.44, 0.128, 1, 0, 1, 0.999, 0.01
Acti2, 0, 0, 0.095, 0.039, 0, 0, 0, 0, 0.021
Acti20, 0, 0, 0.078, 0.046, 0, 0, 0, 0, 0.024
Acti21, 1, 0, 0.578, 0.133, 1, 0, 1, 1, 0.003
Acti22, 1, 0, 0.02, 0.029, 1, 0, 1, 0.998, 0.016
Acti23, 2, 0.002, 1.011, 0.364, 1, 0, 2, 0.43, 1.579
Acti24, 1, 0, 0.017, 0.02, 1, 0, 1, 1, 0.011
Acti25, 1, 0, 0.033, 0.089, 1, 0, 1, 0.839, 0.174
Acti26, 0, 0, 0.16, 0.076, 0, 0, 0, 0, 0.024
Acti27, 0, 0, 0.01, 0.009, 0, 0, 0, 0, 0.006
Acti28, 1, 0, 0.758, 0.34, 1, 0, 1, 0.925, 0.09
Acti29, 0, 0, 0.011, 0.012, 0, 0, 0, 0, 0.007
Acti3, 0, 0, 0.874, 0.027, 0, 0, 0, 0, 0.01
Acti30, 0, 0, 0.019, 0.025, 0, 0, 0, 0, 0.015
Acti31, 0, 0, 0.823, 0.016, 0, 0, 0, 0, 0.008
Acti32, 1, 0, 0.014, 0.019, 1, 0, 1, 1, 0.011
Acti33, 0, 0, 1.018, 0.026, 0, 0, 0, 0, 0.015
Acti34, 1, 0, 0.049, 0.021, 1, 0, 1, 0.999, 0.007
Acti35, 1, 0, 0.019, 0.018, 1, 0, 1, 0.997, 0.016
Acti36, 1, 0.001, 0.144, 0.374, 1, 0, 1, 0.971, 0.035
Acti37, 1, 0.001, 1.032, 0.26, 1, 0, 1, 0.987, 0.021
Acti38, 1, 0.002, 0.025, 0.93, 1, 0, 1, 0.996, 0.012
Acti39, 0, 0, 0.109, 0.053, 0, 0, 0, 0, 0.014
Acti4, 0, 0, 0.137, 0.065, 0, 0, 0, 0, 0.02
Acti40, 1, 0, 0.022, 0.019, 1, 0, 1, 0.998, 0.017
Acti41, 1, 0.002, 0.139, 0.476, 1, 0, 1, 0.159, 0.851
Acti42, 1, 0.001, 0.09, 0.364, 1, 0, 1, 0.288, 0.725
