species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
AABM5X2, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
AABM5X3, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Abys1, 0, 0, 0.003, 0.005, 0, 0, 0, 0, 0.003
Acid1, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acid10, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acid11, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid12, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acid13, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acid14, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.005
Acid17, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acid18, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid20, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid21, 0, 0, 0.004, 0.006, 0, 0, 0, 0, 0.004
Acid22, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid23, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid25, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acid26, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid27, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acid29, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid3, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid30, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid31, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid32, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid34, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid36, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Acid38, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acid39, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
Acid4, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.001
Acid6, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid8, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid9, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acti11, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti12, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acti13, 0, 0, 0.008, 0.004, 0, 0, 0, 0, 0
Acti14, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.003
Acti15, 0, 0, 0.698, 0.003, 0, 0, 0, 0, 0.001
Acti16, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acti18, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.001
Acti19, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.001
Acti2, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acti20, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti21, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Acti22, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acti23, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.001
Acti26, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acti27, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acti28, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acti29, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti3, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti30, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti31, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti32, 0, 0, 0.008, 0.004, 0, 0, 0, 0, 0.001
