species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
AABM5X3, 0, 0, 0.002, 0.004, 0, 0, 0, 0, 0.002
Abys1, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid11, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid18, 0, 0, 0.003, 0.006, 0, 0, 0, 0, 0.003
Acid2, 0, 0, 0.005, 0.005, 0, 0, 0, 0, 0.005
Acid20, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Acid21, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid22, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.005
Acid23, 0, 0, 0.007, 0.007, 0, 0, 0, 0, 0.007
Acid24, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acid25, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.004
Acid26, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.003
Acid27, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.001
Acid28, 0, 0, 0.002, 0.006, 0, 0, 0, 0, 0.002
Acid29, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.001
Acid30, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid31, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acid32, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Acid33, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.002
Acid34, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid35, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Acid36, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acid38, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid39, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acid4, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.003
Acid40, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acid5, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acid6, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acid7, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.001
Acid8, 0, 0, 0.003, 0.005, 0, 0, 0, 0, 0.002
Acid9, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti10, 0, 0, 0.006, 0.009, 0, 0, 0, 0, 0.004
Acti11, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti12, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti13, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acti14, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acti15, 0, 0, 0.865, 0.004, 0, 0, 0, 0, 0.001
Acti16, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti19, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acti2, 0, 0, 0.005, 0.007, 0, 0, 0, 0, 0.005
Acti20, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acti21, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti22, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acti23, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.003
Acti24, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0
Acti25, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.002
Acti26, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acti27, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acti28, 0, 0, 0.002, 0.004, 0, 0, 0, 0, 0.002
Acti29, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti3, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0
Acti30, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti31, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.001
Acti32, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acti33, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acti35, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acti36, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acti37, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acti38, 1, 0, 0.002, 0.05, 1, 0, 1, 0.89, 0.11
Acti39, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acti4, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
Acti40, 1, 0, 0.005, 0.057, 1, 0, 1, 0.869, 0.136
Acti41, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.004
Acti42, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti43, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti45, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti46, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acti47, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acti48, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.001
Acti49, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Acti5, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acti51, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acti52, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acti6, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.003
Acti7, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0
Acti8, 0, 0, 0.004, 0.002, 0, 0, 0, 0, 0.001
Acti9, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Aero1, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Aqui2, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Aqui3, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Aqui4, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Aqui5, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Aqui6, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Arma11, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Arma12, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.004
Arma15, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Arma16, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Arma3, 0, 0, 0.004, 0.008, 0, 0, 0, 0, 0.004
Arma4, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Arma7, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Arma9, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Aure1, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Aure2, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
B130X1, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.003
BMS3X1, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Bact1, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Bact10, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Bact11, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Bact12, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact13, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Bact16, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Bact17, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.001
Bact18, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Bact19, 0, 0, 0.024, 0.005, 0, 0, 0, 0, 0
Bact2, 0, 0, 0.004, 0.006, 0, 0, 0, 0, 0.004
Bact20, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.001
Bact21, 0, 0, 0.247, 0.111, 0, 0, 0, 0, 0.002
Bact24, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Bact25, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact27, 1, 0, 0.005, 0.639, 1, 0, 1, 0.992, 0.011
Bact28, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Bact29, 1, 0, 0.003, 0.02, 1, 0, 1, 0.998, 0.004
Bact3, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Bact30, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Bact31, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact33, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
