species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 1, 0.003, 0.083, 0.183, 1, 0, 1, 0.213, 0.827
AABM5X2, 0, 0, 0.286, 0.118, 0, 0, 0, 0, 0.033
AABM5X3, 1, 0.007, 0.093, 0.487, 1, 0, 1, 0.189, 0.841
Abys1, 1, 0, 0.778, 0.257, 1, 0, 1, 0.993, 0.051
Acid1, 1, 0.007, 0.307, 0.502, 1, 0, 1, 0.12, 0.924
Acid10, 0, 0, 0.114, 0.053, 0, 0, 0, 0, 0.032
Acid11, 1, 0.001, 0.051, 0.286, 1, 0, 1, 0.878, 0.153
Acid12, 2, 0.004, 1.052, 0.339, 1, 0, 2, 0.809, 1.221
Acid13, 1, 0.001, 0.862, 0.284, 1, 0, 1, 0.996, 0.034
Acid14, 0, 0, 0.052, 0.064, 0, 0, 0, 0, 0.036
Acid16, 0, 0, 0.938, 0.197, 0, 0, 0, 0, 0.036
Acid17, 1, 0.002, 0.165, 0.278, 1, 0, 1, 0.239, 0.787
Acid18, 0, 0, 0.111, 0.09, 0, 0, 0, 0, 0.044
Acid2, 0, 0, 0.108, 0.088, 0, 0, 0, 0, 0.041
Acid20, 0, 0, 0.329, 0.177, 0, 0, 0, 0, 0.03
Acid21, 2, 0.009, 0.128, 0.765, 1, 0, 2, 0.661, 1.379
Acid22, 0, 0, 0.396, 0.052, 0, 0, 0, 0, 0.036
Acid23, 1, 0.001, 0.572, 0.216, 1, 0, 1, 0.994, 0.037
Acid24, 0, 0, 0.386, 0.032, 0, 0, 0, 0, 0.024
Acid25, 2, 0.004, 0.976, 0.418, 1, 0, 2, 1.147, 0.883
Acid26, 3, 0.005, 0.082, 0.859, 1, 0, 3, 1.345, 1.692
Acid27, 0, 0, 0.991, 0.101, 0, 0, 0, 0, 0.028
Acid28, 0, 0, 0.042, 0.042, 0, 0, 0, 0, 0.022
Acid29, 1, 0.002, 0.058, 0.119, 1, 0, 1, 0.943, 0.093
Acid3, 0, 0, 0.047, 0.039, 0, 0, 0, 0, 0.031
Acid30, 0, 0, 0.115, 0.083, 0, 0, 0, 0, 0.035
Acid31, 0, 0, 0.933, 0.18, 0, 0, 0, 0, 0.036
Acid32, 0, 0, 1.421, 0.339, 0, 0, 0, 0, 0.036
Acid33, 0, 0, 0.476, 0.05, 0, 0, 0, 0, 0.03
Acid34, 1, 0.002, 0.058, 0.108, 1, 0, 1, 0.951, 0.071
Acid35, 1, 0, 0.101, 0.086, 1, 0, 1, 0.997, 0.044
Acid36, 1, 0, 1.005, 0.048, 1, 0, 1, 0.992, 0.038
Acid37, 0, 0, 0.111, 0.074, 0, 0, 0, 0, 0.031
Acid38, 2, 0.001, 0.055, 0.152, 1, 0, 2, 1.943, 0.087
Acid39, 1, 0, 0.079, 0.061, 1, 0, 1, 0.999, 0.022
Acid4, 0, 0, 0.282, 0.071, 0, 0, 0, 0, 0.045
Acid40, 1, 0.009, 0.051, 0.265, 1, 0, 1, 0.284, 0.743
Acid5, 0, 0.001, 1.5, 0.217, 0, 0, 0, 0, 0.038
Acid6, 0, 0, 0.059, 0.053, 0, 0, 0, 0, 0.039
Acid7, 3, 1.999, 0.101, 0.063, 1, 0, 3, 0, 0.079
Acid8, 1, 0.003, 1.119, 0.471, 1, 0, 1, 0.672, 0.363
Acid9, 2, 0.008, 0.977, 0.886, 1, 0, 2, 0.136, 1.898
Acti10, 1, 0.005, 0.067, 0.237, 1, 0, 1, 0.269, 0.762
Acti11, 0, 0, 0.046, 0.046, 0, 0, 0, 0, 0.034
