species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.003
AABM5X2, 0, 0, 0.006, 0.005, 0, 0, 0, 0, 0.005
AABM5X3, 0, 0, 0.005, 0.004, 0, 0, 0, 0, 0.003
Abys1, 0, 0, 0.005, 0.003, 0, 0, 0, 0, 0.003
Acid1, 0, 0, 0.025, 0.017, 0, 0, 0, 0, 0.002
Acid10, 0, 0, 0.238, 0.014, 0, 0, 0, 0, 0.005
Acid11, 0, 0, 0.009, 0.011, 0, 0, 0, 0, 0.008
Acid12, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acid13, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acid14, 1, 0, 0.226, 0.077, 1, 0, 1, 0.949, 0.057
Acid16, 0, 0, 0.011, 0.01, 0, 0, 0, 0, 0.008
Acid17, 0, 0, 0.028, 0.015, 0, 0, 0, 0, 0.005
Acid18, 0, 0, 0.007, 0.005, 0, 0, 0, 0, 0.003
Acid2, 0, 0, 0.008, 0.008, 0, 0, 0, 0, 0.004
Acid20, 1, 0, 0.007, 0.005, 1, 0, 1, 1, 0.003
Acid21, 0, 0, 0.007, 0.007, 0, 0, 0, 0, 0.006
Acid22, 0, 0, 0.006, 0.007, 0, 0, 0, 0, 0.004
Acid23, 0, 0, 0.007, 0.007, 0, 0, 0, 0, 0.003
Acid24, 0, 0, 0.011, 0.012, 0, 0, 0, 0, 0.009
Acid25, 0, 0, 0.038, 0.008, 0, 0, 0, 0, 0.006
Acid26, 1, 0, 0.004, 0.022, 1, 0, 1, 0.165, 0.838
Acid27, 0, 0, 0.007, 0.008, 0, 0, 0, 0, 0.006
Acid28, 0, 0, 0.962, 0.013, 0, 0, 0, 0, 0.005
Acid29, 0, 0, 0.005, 0.007, 0, 0, 0, 0, 0.004
Acid3, 1, 0.001, 0.955, 0.186, 1, 0, 1, 0.22, 0.785
Acid30, 0, 0, 0.006, 0.005, 0, 0, 0, 0, 0.005
Acid31, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acid32, 0, 0, 0.17, 0.009, 0, 0, 0, 0, 0.004
Acid33, 0, 0, 0.005, 0.004, 0, 0, 0, 0, 0.002
Acid34, 0, 0, 0.005, 0.004, 0, 0, 0, 0, 0.004
Acid35, 0, 0, 0.285, 0.083, 0, 0, 0, 0, 0.005
Acid36, 1, 0, 0.007, 0.004, 1, 0, 1, 1, 0.004
Acid37, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acid38, 1, 0, 0.006, 0.003, 1, 0, 1, 1, 0.003
Acid39, 1, 0.005, 0.012, 0.397, 1, 0, 1, 0.275, 0.727
Acid4, 1, 0.001, 0.278, 0.058, 1, 0, 1, 0.008, 0.997
Acid40, 1, 0, 0.008, 0.009, 1, 0, 1, 1, 0.004
Acid5, 0, 0, 0.011, 0.008, 0, 0, 0, 0, 0.003
Acid6, 1, 0, 0.007, 0.028, 1, 0, 1, 0.954, 0.05
Acid7, 0, 0, 0.376, 0.005, 0, 0, 0, 0, 0.002
Acid8, 0, 0, 0.022, 0.017, 0, 0, 0, 0, 0.005
Acid9, 0, 0, 0.015, 0.013, 0, 0, 0, 0, 0.008
Acti10, 1, 0, 0.037, 0.076, 1, 0, 1, 0.195, 0.807
Acti11, 0, 0, 0.019, 0.024, 0, 0, 0, 0, 0.009
Acti12, 1, 0, 0.01, 0.007, 1, 0, 1, 0.998, 0.008
Acti13, 0, 0, 0.247, 0.039, 0, 0, 0, 0, 0.003
Acti14, 0, 0, 0.053, 0.039, 0, 0, 0, 0, 0.002
Acti15, 1, 0.005, 0.325, 0.238, 1, 0, 1, 0.98, 0.02
Acti16, 0, 0, 0.013, 0.012, 0, 0, 0, 0, 0.005
Acti18, 0, 0, 0.012, 0.01, 0, 0, 0, 0, 0.004
Acti19, 0, 0, 0.328, 0.016, 0, 0, 0, 0, 0.006
Acti2, 0, 0, 0.028, 0.012, 0, 0, 0, 0, 0.003
Acti20, 0, 0, 0.009, 0.004, 0, 0, 0, 0, 0.003
Acti21, 1, 0, 0.008, 0.006, 1, 0, 1, 1, 0.006
Acti22, 0, 0, 0.015, 0.01, 0, 0, 0, 0, 0.005
Acti23, 1, 0, 0.012, 0.042, 1, 0, 1, 0.319, 0.69
Acti24, 0, 0, 0.011, 0.011, 0, 0, 0, 0, 0.006
Acti25, 1, 0.002, 0.041, 0.273, 1, 0, 1, 0.187, 0.816
Acti26, 0, 0, 0.116, 0.059, 0, 0, 0, 0, 0.006
Acti27, 0, 0, 0.006, 0.007, 0, 0, 0, 0, 0.005
Acti28, 3, 0.93, 0.795, 0.229, 1, 0, 3, 1.029, 0.775
Acti29, 0, 0, 0.005, 0.005, 0, 0, 0, 0, 0.005
Acti3, 0, 0, 0.231, 0.026, 0, 0, 0, 0, 0.001
Acti30, 0, 0, 0.007, 0.008, 0, 0, 0, 0, 0.006
Acti31, 0, 0, 0.188, 0.06, 0, 0, 0, 0, 0.004
Acti32, 1, 0.002, 0.956, 0.159, 1, 0, 1, 0.83, 0.174
Acti33, 1, 0.002, 0.013, 0.115, 1, 0, 1, 0.875, 0.13
Acti34, 0, 0.001, 0.167, 0.105, 0, 0, 0, 0, 0.002
Acti35, 0, 0.001, 0.886, 0.305, 0, 0, 0, 0, 0.004
