species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X2, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
AABM5X3, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
Abys1, 1, 0.002, 0.956, 0.108, 1, 0, 1, 0.313, 0.688
Acid1, 0, 0, 0.008, 0.005, 0, 0, 0, 0, 0.003
Acid10, 1, 0, 0.009, 0.099, 1, 0, 1, 0.821, 0.179
Acid11, 0, 0, 0.21, 0.019, 0, 0, 0, 0, 0.001
Acid12, 0, 0, 0.004, 0.006, 0, 0, 0, 0, 0.004
Acid14, 0, 0, 0.008, 0.005, 0, 0, 0, 0, 0.005
Acid16, 0, 0, 0.066, 0.018, 0, 0, 0, 0, 0.004
Acid17, 0, 0, 0.007, 0.005, 0, 0, 0, 0, 0.002
Acid18, 1, 0.001, 0.007, 0.053, 1, 0, 1, 0.194, 0.809
Acid2, 0, 0, 0.203, 0.012, 0, 0, 0, 0, 0.006
Acid20, 0, 0, 0.006, 0.006, 0, 0, 0, 0, 0.005
Acid21, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.003
Acid22, 1, 0.003, 0.036, 0.17, 1, 0, 1, 0.839, 0.164
Acid23, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acid24, 0, 0, 0.164, 0.05, 0, 0, 0, 0, 0.001
Acid25, 0, 0, 0.005, 0.005, 0, 0, 0, 0, 0.004
Acid26, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0
Acid27, 0, 0, 0.012, 0.009, 0, 0, 0, 0, 0.003
Acid28, 0, 0, 0.007, 0.005, 0, 0, 0, 0, 0.004
Acid29, 0, 0, 0.015, 0.011, 0, 0, 0, 0, 0.006
Acid3, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.001
Acid30, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.003
Acid31, 1, 0.001, 0.005, 0.117, 1, 0, 1, 0.207, 0.795
Acid32, 0, 0, 0.007, 0.006, 0, 0, 0, 0, 0.005
Acid33, 1, 0.004, 0.024, 0.306, 1, 0, 1, 0.334, 0.669
Acid34, 0, 0, 0.03, 0.013, 0, 0, 0, 0, 0.001
Acid35, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.001
Acid36, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acid37, 0, 0, 0.006, 0.009, 0, 0, 0, 0, 0.005
Acid38, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acid39, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.001
Acid4, 0, 0, 0.052, 0.028, 0, 0, 0, 0, 0.002
