species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.014, 0.018, 0, 0, 0, 0, 0.01
AABM5X2, 0, 0, 0.015, 0.016, 0, 0, 0, 0, 0.011
AABM5X3, 0, 0, 0.021, 0.02, 0, 0, 0, 0, 0.019
Abys1, 1, 0.001, 1.114, 0.892, 1, 0, 1, 0.256, 0.762
Acid1, 1, 0, 0.021, 0.026, 1, 0, 1, 0.991, 0.015
Acid10, 1, 0.001, 0.977, 0.623, 1, 0, 1, 0.191, 0.822
Acid11, 0, 0, 0.02, 0.022, 0, 0, 0, 0, 0.018
Acid12, 0, 0, 0.039, 0.033, 0, 0, 0, 0, 0.015
Acid13, 0, 0, 0.031, 0.023, 0, 0, 0, 0, 0.007
Acid14, 1, 0, 0.318, 0.126, 1, 0, 1, 0.998, 0.02
Acid16, 1, 0.002, 0.025, 0.351, 1, 0, 1, 0.006, 1.011
Acid17, 0, 0, 1.022, 0.034, 0, 0, 0, 0, 0.016
Acid18, 0, 0, 0.037, 0.033, 0, 0, 0, 0, 0.02
Acid2, 0, 0, 0.029, 0.029, 0, 0, 0, 0, 0.012
Acid20, 1, 0, 1.012, 0.019, 1, 0, 1, 1, 0.009
Acid21, 0, 0, 0.016, 0.016, 0, 0, 0, 0, 0.011
Acid22, 2, 0.001, 0.06, 0.461, 1, 0, 2, 1.199, 0.814
Acid23, 1, 0, 0.012, 0.414, 1, 0, 1, 0.168, 0.842
Acid24, 0, 0, 0.157, 0.083, 0, 0, 0, 0, 0.011
Acid25, 0, 0, 0.015, 0.015, 0, 0, 0, 0, 0.011
Acid26, 0, 0, 0.016, 0.016, 0, 0, 0, 0, 0.012
Acid27, 0, 0, 0.025, 0.024, 0, 0, 0, 0, 0.008
Acid28, 0, 0, 1.023, 0.022, 0, 0, 0, 0, 0.011
Acid29, 0, 0, 0.029, 0.023, 0, 0, 0, 0, 0.012
Acid3, 1, 0.002, 1.012, 0.529, 1, 0, 1, 0.294, 0.712
Acid30, 0, 0, 0.015, 0.018, 0, 0, 0, 0, 0.01
Acid31, 0, 0, 0.019, 0.022, 0, 0, 0, 0, 0.017
Acid32, 0, 0, 0.014, 0.016, 0, 0, 0, 0, 0.01
Acid33, 1, 0.003, 0.027, 0.569, 1, 0, 1, 0.345, 0.662
Acid34, 0, 0, 0.087, 0.065, 0, 0, 0, 0, 0.013
Acid35, 1, 0, 0.021, 0.017, 1, 0, 1, 1, 0.016
Acid36, 2, 0, 0.015, 0.016, 1, 0, 2, 2, 0.011
Acid37, 0, 0, 0.015, 0.014, 0, 0, 0, 0, 0.01
Acid38, 2, 0, 0.017, 0.016, 1, 0, 2, 1.999, 0.013
Acid39, 1, 0, 0.014, 0.016, 1, 0, 1, 1, 0.009
Acid4, 1, 0, 0.926, 0.245, 1, 0, 1, 0.362, 0.648
Acid40, 2, 0, 0.019, 0.017, 1, 0, 2, 1.994, 0.016
Acid5, 0, 0, 0.102, 0.038, 0, 0, 0, 0, 0.019
Acid6, 1, 0, 0.025, 0.021, 1, 0, 1, 0.997, 0.013
Acid7, 1, 0.003, 0.167, 1.016, 1, 0, 1, 0.995, 0.011
Acid8, 0, 0, 0.04, 0.038, 0, 0, 0, 0, 0.017
Acid9, 0, 0, 0.047, 0.038, 0, 0, 0, 0, 0.025
Acti10, 1, 0, 0.962, 0.288, 1, 0, 1, 0.261, 0.752
Acti11, 1, 0, 0.078, 0.023, 1, 0, 1, 0.976, 0.038
Acti12, 2, 0.001, 0.013, 0.61, 1, 0, 2, 1.35, 0.658
Acti13, 1, 0, 0.073, 0.411, 1, 0, 1, 0.251, 0.765
Acti14, 1, 0, 0.027, 0.356, 1, 0, 1, 0.32, 0.683
Acti15, 1, 0, 0.026, 0.033, 1, 0, 1, 0.954, 0.056
Acti16, 1, 0.003, 0.019, 0.67, 1, 0, 1, 0.5, 0.506
Acti18, 0, 0, 0.519, 0.205, 0, 0, 0, 0, 0.009
Acti19, 0, 0, 0.265, 0.114, 0, 0, 0, 0, 0.007
Acti2, 0, 0, 0.03, 0.033, 0, 0, 0, 0, 0.019
Acti20, 0, 0, 0.066, 0.049, 0, 0, 0, 0, 0.015
Acti21, 1, 0, 0.364, 0.106, 1, 0, 1, 1, 0.01
Acti22, 1, 0, 0.07, 0.13, 1, 0, 1, 0.988, 0.03
Acti23, 1, 0.001, 0.062, 0.295, 1, 0, 1, 0.206, 0.803
Acti24, 0, 0, 0.012, 0.015, 0, 0, 0, 0, 0.01
Acti25, 1, 0, 0.022, 0.043, 1, 0, 1, 0.979, 0.036
Acti26, 0, 0, 0.477, 0.084, 0, 0, 0, 0, 0.014
Acti27, 0, 0, 0.01, 0.007, 0, 0, 0, 0, 0.006
Acti28, 1, 0, 0.963, 0.082, 1, 0, 1, 0.098, 0.909
Acti29, 0, 0, 0.012, 0.01, 0, 0, 0, 0, 0.007
Acti3, 1, 0, 0.281, 0.076, 1, 0, 1, 0.942, 0.071
Acti30, 0, 0, 0.022, 0.021, 0, 0, 0, 0, 0.014
Acti31, 0, 0, 0.962, 0.017, 0, 0, 0, 0, 0.011
Acti32, 1, 0, 0.979, 0.202, 1, 0, 1, 0.202, 0.81
Acti33, 0, 0, 0.371, 0.035, 0, 0, 0, 0, 0.015
Acti34, 1, 0.001, 0.117, 0.388, 1, 0, 1, 0.239, 0.771
Acti35, 1, 0, 0.033, 0.034, 1, 0, 1, 0.334, 0.677
Acti36, 1, 0, 0.059, 0.051, 1, 0, 1, 0.999, 0.011
Acti37, 1, 0, 0.039, 0.025, 1, 0, 1, 1, 0.008
Acti38, 0, 0, 1.011, 0.031, 0, 0, 0, 0, 0.012
Acti39, 0, 0, 0.112, 0.035, 0, 0, 0, 0, 0.016
Acti4, 0, 0, 0.347, 0.259, 0, 0, 0, 0, 0.017
Acti40, 0, 0, 0.192, 0.024, 0, 0, 0, 0, 0.009
Acti41, 1, 0.001, 0.967, 0.478, 1, 0, 1, 0.106, 0.902
Acti42, 1, 0, 0.028, 0.29, 1, 0, 1, 0.05, 0.97
Acti43, 1, 0.002, 0.062, 1.03, 1, 0, 1, 0.997, 0.012
Acti44, 0, 0, 1.012, 0.016, 0, 0, 0, 0, 0.007
Acti45, 1, 0, 0.034, 0.014, 1, 0, 1, 0.997, 0.007
Acti46, 1, 0, 0.116, 0.053, 1, 0, 1, 0.956, 0.052
Acti47, 1, 0.004, 0.067, 0.854, 1, 0, 1, 0.965, 0.036
Acti48, 1, 0, 0.266, 0.034, 1, 0, 1, 0.998, 0.01
Acti49, 1, 0, 0.215, 0.129, 1, 0, 1, 0.962, 0.046
Acti5, 0, 0, 0.017, 0.016, 0, 0, 0, 0, 0.012
Acti50, 1, 0, 0.067, 0.011, 1, 0, 1, 0.993, 0.013
Acti51, 0, 0, 0.015, 0.015, 0, 0, 0, 0, 0.011
Acti52, 1, 0, 0.015, 0.012, 1, 0, 1, 0.997, 0.01
Acti6, 0, 0, 0.358, 0.183, 0, 0, 0, 0, 0.014
Acti7, 0, 0, 0.998, 0.024, 0, 0, 0, 0, 0.011
Acti8, 0, 0, 0.02, 0.02, 0, 0, 0, 0, 0.018
Acti9, 0, 0, 0.018, 0.017, 0, 0, 0, 0, 0.013
Aero1, 0, 0, 0.051, 0.041, 0, 0, 0, 0, 0.014
Aqui1, 0, 0, 0.246, 0.064, 0, 0, 0, 0, 0.017
Aqui2, 1, 0, 0.022, 0.255, 1, 0, 1, 0.225, 0.793
Aqui3, 0, 0, 0.017, 0.015, 0, 0, 0, 0, 0.008
Aqui4, 0, 0, 0.015, 0.015, 0, 0, 0, 0, 0.011
Aqui5, 0, 0, 0.064, 0.02, 0, 0, 0, 0, 0.009
Aqui6, 0, 0, 0.006, 0.005, 0, 0, 0, 0, 0.002
Arma11, 2, 0.069, 0.086, 0.455, 1, 0, 2, 0.749, 1.133
Arma12, 2, 0, 0.081, 0.45, 1, 0, 2, 0.498, 1.515
Arma13, 0, 0, 0.009, 0.009, 0, 0, 0, 0, 0.007
Arma14, 0, 0, 0.07, 0.064, 0, 0, 0, 0, 0.018
Arma15, 0, 0, 0.011, 0.013, 0, 0, 0, 0, 0.009
Arma16, 1, 0, 0.074, 0.042, 1, 0, 1, 0.997, 0.014
Arma3, 2, 0.001, 0.284, 0.698, 1, 0, 2, 0.358, 1.661
Arma4, 0, 0, 0.061, 0.062, 0, 0, 0, 0, 0.009
Arma6, 1, 0, 0.02, 0.02, 1, 0, 1, 1, 0.01
Arma7, 0, 0, 0.579, 0.133, 0, 0, 0, 0, 0.013
Arma9, 1, 0, 0.03, 0.025, 1, 0, 1, 1, 0.013
Aure1, 0, 0, 0.965, 0.194, 0, 0, 0, 0, 0.027
Aure2, 1, 0.001, 0.172, 0.269, 1, 0, 1, 0.78, 0.233
Aure3, 0, 0.002, 1.566, 0.595, 0, 0, 0, 0, 0.015
B130X1, 0, 0, 0.294, 0.134, 0, 0, 0, 0, 0.031
BMS3X1, 0, 0, 0.185, 0.13, 0, 0, 0, 0, 0.018
Bact1, 0, 0, 0.021, 0.022, 0, 0, 0, 0, 0.013
Bact10, 0, 0, 0.097, 0.039, 0, 0, 0, 0, 0.01
Bact11, 0, 0, 0.018, 0.016, 0, 0, 0, 0, 0.01
Bact12, 0, 0, 0.021, 0.023, 0, 0, 0, 0, 0.019
Bact13, 0, 0, 0.01, 0.009, 0, 0, 0, 0, 0.007
Bact14, 0, 0, 0.015, 0.016, 0, 0, 0, 0, 0.01
Bact16, 0, 0, 0.018, 0.017, 0, 0, 0, 0, 0.008
Bact17, 0, 0, 0.015, 0.014, 0, 0, 0, 0, 0.012
Bact18, 0, 0, 0.018, 0.018, 0, 0, 0, 0, 0.014
