species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.245, 0.115, 0, 0, 0, 0, 0.027
AABM5X2, 1, 0.002, 0.033, 0.228, 1, 0, 1, 0.204, 0.813
AABM5X3, 1, 0.003, 0.041, 0.475, 1, 0, 1, 0.07, 0.942
Abys1, 1, 0.005, 0.858, 0.754, 1, 0, 1, 0.074, 0.941
Acid1, 0, 0, 0.032, 0.035, 0, 0, 0, 0, 0.018
Acid10, 1, 0, 0.016, 0.048, 1, 0, 1, 0.738, 0.271
Acid11, 1, 0, 0.202, 0.117, 1, 0, 1, 0.177, 0.832
Acid12, 1, 0, 0.019, 0.342, 1, 0, 1, 0.201, 0.81
Acid13, 0, 0, 0.222, 0.081, 0, 0, 0, 0, 0.013
Acid14, 0, 0, 0.025, 0.026, 0, 0, 0, 0, 0.018
Acid16, 0, 0, 0.155, 0.068, 0, 0, 0, 0, 0.016
Acid17, 0, 0, 0.021, 0.019, 0, 0, 0, 0, 0.007
Acid18, 1, 0, 0.031, 0.48, 1, 0, 1, 0.226, 0.786
Acid2, 0, 0, 0.26, 0.084, 0, 0, 0, 0, 0.015
Acid20, 0, 0, 0.022, 0.026, 0, 0, 0, 0, 0.013
Acid21, 0, 0, 0.023, 0.022, 0, 0, 0, 0, 0.017
Acid22, 1, 0, 0.027, 0.036, 1, 0, 1, 0.747, 0.262
Acid23, 0, 0, 0.059, 0.023, 0, 0, 0, 0, 0.011
Acid24, 0, 0, 0.059, 0.038, 0, 0, 0, 0, 0.021
Acid25, 0, 0, 0.022, 0.02, 0, 0, 0, 0, 0.013
Acid26, 0, 0, 0.018, 0.014, 0, 0, 0, 0, 0.012
Acid27, 0, 0, 0.023, 0.022, 0, 0, 0, 0, 0.015
Acid28, 1, 0, 0.015, 0.223, 1, 0, 1, 0.252, 0.758
Acid29, 0, 0, 0.026, 0.022, 0, 0, 0, 0, 0.018
Acid3, 0, 0, 0.026, 0.025, 0, 0, 0, 0, 0.019
Acid30, 0, 0, 0.019, 0.022, 0, 0, 0, 0, 0.017
Acid31, 1, 0.001, 0.2, 0.378, 1, 0, 1, 0.183, 0.829
Acid32, 0, 0, 0.022, 0.024, 0, 0, 0, 0, 0.016
Acid33, 1, 0, 0.018, 0.22, 1, 0, 1, 0.252, 0.762
Acid34, 0, 0, 0.032, 0.021, 0, 0, 0, 0, 0.011
Acid35, 0, 0, 0.077, 0.062, 0, 0, 0, 0, 0.015
Acid36, 0, 0, 0.008, 0.007, 0, 0, 0, 0, 0.005
Acid37, 0, 0, 0.014, 0.017, 0, 0, 0, 0, 0.012
Acid38, 0, 0, 0.012, 0.01, 0, 0, 0, 0, 0.009
Acid39, 0, 0, 0.082, 0.056, 0, 0, 0, 0, 0.02
