species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.025, 0.025, 0, 0, 0, 0, 0.018
AABM5X2, 0, 0, 0.01, 0.006, 0, 0, 0, 0, 0.003
AABM5X3, 0, 0, 0.013, 0.014, 0, 0, 0, 0, 0.011
Abys1, 0, 0, 0.035, 0.04, 0, 0, 0, 0, 0.024
Acid1, 0, 0, 0.022, 0.021, 0, 0, 0, 0, 0.013
Acid10, 0, 0, 0.116, 0.023, 0, 0, 0, 0, 0.012
Acid11, 1, 0.004, 0.013, 0.354, 1, 0, 1, 0.175, 0.834
Acid12, 1, 0, 0.025, 0.025, 1, 0, 1, 0.155, 0.862
Acid13, 0, 0, 0.182, 0.033, 0, 0, 0, 0, 0.019
Acid14, 1, 0.004, 0.244, 0.264, 1, 0, 1, 0.581, 0.43
Acid16, 0, 0, 0.116, 0.042, 0, 0, 0, 0, 0.01
Acid17, 0, 0, 0.027, 0.028, 0, 0, 0, 0, 0.018
Acid18, 0, 0, 0.035, 0.036, 0, 0, 0, 0, 0.022
Acid2, 0, 0, 0.036, 0.039, 0, 0, 0, 0, 0.023
Acid20, 1, 0, 0.032, 0.031, 1, 0, 1, 1, 0.019
Acid21, 0, 0, 0.016, 0.018, 0, 0, 0, 0, 0.013
Acid22, 0, 0, 0.024, 0.024, 0, 0, 0, 0, 0.018
Acid23, 0, 0, 0.037, 0.019, 0, 0, 0, 0, 0.014
Acid24, 0, 0, 0.023, 0.027, 0, 0, 0, 0, 0.021
Acid25, 0, 0, 0.039, 0.022, 0, 0, 0, 0, 0.015
Acid26, 1, 0, 0.018, 0.066, 1, 0, 1, 0.151, 0.864
Acid27, 0, 0, 0.019, 0.024, 0, 0, 0, 0, 0.014
Acid28, 1, 0.004, 0.634, 0.531, 1, 0, 1, 0.263, 0.748
Acid29, 0, 0, 0.021, 0.022, 0, 0, 0, 0, 0.016
Acid3, 1, 0.002, 0.61, 0.278, 1, 0, 1, 0.215, 0.798
Acid30, 0, 0, 0.015, 0.017, 0, 0, 0, 0, 0.015
Acid31, 0, 0, 0.196, 0.07, 0, 0, 0, 0, 0.021
Acid32, 0, 0, 0.167, 0.034, 0, 0, 0, 0, 0.013
Acid33, 0, 0, 0.014, 0.013, 0, 0, 0, 0, 0.007
Acid34, 0, 0, 0.018, 0.017, 0, 0, 0, 0, 0.01
Acid35, 0, 0, 0.226, 0.052, 0, 0, 0, 0, 0.012
Acid36, 1, 0, 0.017, 0.016, 1, 0, 1, 1, 0.009
Acid37, 0, 0, 0.015, 0.019, 0, 0, 0, 0, 0.015
Acid38, 1, 0, 0.015, 0.013, 1, 0, 1, 1, 0.007
Acid39, 1, 0, 0.048, 0.124, 1, 0, 1, 0.175, 0.834
Acid4, 1, 0.001, 0.147, 0.056, 1, 0, 1, 0.009, 1.009
Acid40, 1, 0, 0.021, 0.026, 1, 0, 1, 1, 0.008
Acid5, 0, 0, 0.019, 0.021, 0, 0, 0, 0, 0.01
Acid6, 1, 0.002, 0.288, 0.284, 1, 0, 1, 0.609, 0.404
Acid7, 0, 0, 0.271, 0.049, 0, 0, 0, 0, 0.015
Acid8, 0, 0, 0.238, 0.102, 0, 0, 0, 0, 0.015
Acid9, 1, 0.001, 0.021, 0.222, 1, 0, 1, 0.268, 0.744
Acti10, 1, 0.005, 0.275, 0.574, 1, 0, 1, 0.923, 0.086
Acti11, 1, 0.002, 0.069, 0.684, 1, 0, 1, 0.168, 0.853
Acti12, 1, 0, 0.049, 0.056, 1, 0, 1, 1, 0.015
Acti13, 0, 0, 0.04, 0.025, 0, 0, 0, 0, 0.02
Acti14, 0, 0, 1.026, 0.018, 0, 0, 0, 0, 0.013
Acti15, 1, 0, 0.063, 0.045, 1, 0, 1, 0.826, 0.186
Acti16, 0, 0, 0.023, 0.02, 0, 0, 0, 0, 0.012
Acti18, 0, 0, 0.024, 0.023, 0, 0, 0, 0, 0.013
Acti19, 0, 0, 0.15, 0.022, 0, 0, 0, 0, 0.012
Acti2, 0, 0, 0.022, 0.025, 0, 0, 0, 0, 0.015
Acti20, 0, 0, 0.017, 0.022, 0, 0, 0, 0, 0.015
Acti21, 1, 0, 0.051, 0.033, 1, 0, 1, 0.999, 0.017
Acti22, 0, 0, 0.231, 0.104, 0, 0, 0, 0, 0.017
Acti23, 1, 0, 0.02, 0.023, 1, 0, 1, 0.132, 0.882
Acti24, 0, 0, 0.022, 0.023, 0, 0, 0, 0, 0.016
Acti25, 1, 0.005, 0.043, 0.658, 1, 0, 1, 0.92, 0.092
Acti26, 0, 0, 0.361, 0.049, 0, 0, 0, 0, 0.014
Acti27, 0, 0, 0.022, 0.023, 0, 0, 0, 0, 0.018
Acti28, 3, 1.259, 1.248, 0.81, 1, 0, 3, 0.455, 0.739
Acti29, 0, 0, 0.012, 0.016, 0, 0, 0, 0, 0.012
Acti3, 1, 0.005, 0.956, 0.803, 1, 0, 1, 0.245, 0.767
Acti30, 0, 0, 0.014, 0.02, 0, 0, 0, 0, 0.012
Acti31, 0, 0.001, 0.956, 0.309, 0, 0, 0, 0, 0.013
Acti32, 1, 0, 0.021, 0.022, 1, 0, 1, 1, 0.012
Acti33, 1, 0.002, 1.012, 0.35, 1, 0, 1, 0.234, 0.782
Acti34, 1, 0, 0.022, 0.016, 1, 0, 1, 1, 0.008
Acti35, 1, 0.002, 0.254, 0.091, 1, 0, 1, 0.989, 0.024
Acti36, 1, 0, 0.253, 0.104, 1, 0, 1, 0.017, 0.991
Acti37, 1, 0, 0.77, 0.104, 1, 0, 1, 0.962, 0.049
Acti38, 1, 0, 0.025, 0.32, 1, 0, 1, 1, 0.011
Acti39, 0, 0, 0.092, 0.053, 0, 0, 0, 0, 0.022
Acti4, 0, 0, 0.046, 0.049, 0, 0, 0, 0, 0.016
Acti40, 0, 0.001, 0.13, 0.035, 0, 0, 0, 0, 0.012
Acti41, 1, 0.001, 1.007, 0.135, 1, 0, 1, 0.682, 0.325
Acti42, 0, 0, 0.033, 0.022, 0, 0, 0, 0, 0.016
Acti43, 2, 0.004, 0.085, 0.677, 1, 0, 2, 0.195, 1.819
Acti44, 0, 0, 0.705, 0.039, 0, 0, 0, 0, 0.013
Acti45, 1, 0.004, 1.049, 0.813, 1, 0, 1, 0.141, 0.87
Acti46, 1, 0, 0.706, 0.09, 1, 0, 1, 0.985, 0.025
Acti47, 1, 0.003, 0.192, 0.376, 1, 0, 1, 0.99, 0.014
Acti48, 1, 0.002, 0.179, 0.133, 1, 0, 1, 0.847, 0.164
Acti49, 1, 0, 0.022, 0.02, 1, 0, 1, 1, 0.013
Acti5, 0, 0, 0.022, 0.019, 0, 0, 0, 0, 0.014
Acti50, 2, 0.007, 1.055, 0.72, 1, 0, 2, 1.21, 0.798
Acti51, 0, 0, 0.018, 0.02, 0, 0, 0, 0, 0.014
Acti52, 1, 0, 0.023, 0.065, 1, 0, 1, 0.674, 0.331
Acti6, 1, 0, 0.027, 0.031, 1, 0, 1, 1, 0.014
Acti7, 1, 0.003, 0.125, 0.334, 1, 0, 1, 0.968, 0.039
Acti8, 0, 0, 0.018, 0.017, 0, 0, 0, 0, 0.012
Acti9, 0, 0, 0.015, 0.02, 0, 0, 0, 0, 0.015
Aero1, 0, 0, 0.028, 0.024, 0, 0, 0, 0, 0.017
