species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.02, 0.02, 0, 0, 0, 0, 0.012
AABM5X2, 0, 0, 0.017, 0.014, 0, 0, 0, 0, 0.009
AABM5X3, 0, 0, 0.017, 0.017, 0, 0, 0, 0, 0.013
Abys1, 1, 0.001, 0.551, 0.332, 1, 0, 1, 0.594, 0.425
Acid1, 1, 0.001, 0.025, 0.299, 1, 0, 1, 0.217, 0.797
Acid10, 1, 0.001, 0.065, 0.293, 1, 0, 1, 0.321, 0.689
Acid11, 1, 0.002, 0.015, 0.341, 1, 0, 1, 0.219, 0.789
Acid12, 0, 0, 0.021, 0.023, 0, 0, 0, 0, 0.012
Acid13, 0, 0, 0.022, 0.018, 0, 0, 0, 0, 0.013
Acid14, 1, 0.002, 0.248, 0.291, 1, 0, 1, 0.37, 0.641
Acid16, 1, 0.001, 0.069, 0.449, 1, 0, 1, 0.006, 1.013
Acid17, 0, 0, 0.241, 0.076, 0, 0, 0, 0, 0.014
Acid18, 0, 0, 0.036, 0.04, 0, 0, 0, 0, 0.02
Acid2, 0, 0, 0.031, 0.03, 0, 0, 0, 0, 0.015
Acid20, 1, 0, 0.015, 0.014, 1, 0, 1, 1, 0.01
Acid21, 1, 0, 0.041, 0.195, 1, 0, 1, 0.373, 0.634
Acid22, 1, 0.001, 0.042, 0.088, 1, 0, 1, 0.243, 0.766
Acid23, 1, 0.002, 0.014, 0.302, 1, 0, 1, 0.296, 0.709
Acid24, 0, 0, 0.077, 0.03, 0, 0, 0, 0, 0.006
Acid25, 0, 0, 0.044, 0.032, 0, 0, 0, 0, 0.013
Acid26, 0, 0, 0.023, 0.017, 0, 0, 0, 0, 0.012
Acid27, 0, 0, 0.024, 0.021, 0, 0, 0, 0, 0.009
Acid28, 0, 0, 0.041, 0.031, 0, 0, 0, 0, 0.012
Acid29, 0, 0, 0.025, 0.019, 0, 0, 0, 0, 0.01
Acid3, 1, 0.001, 0.388, 0.312, 1, 0, 1, 0.227, 0.782
Acid30, 1, 0, 0.062, 0.075, 1, 0, 1, 0.163, 0.848
Acid31, 0, 0, 0.241, 0.104, 0, 0, 0, 0, 0.017
Acid32, 0, 0, 0.021, 0.023, 0, 0, 0, 0, 0.01
Acid33, 1, 0.002, 0.023, 0.635, 1, 0, 1, 0.287, 0.729
Acid34, 0, 0, 0.046, 0.026, 0, 0, 0, 0, 0.011
Acid35, 0, 0, 0.496, 0.112, 0, 0, 0, 0, 0.014
Acid36, 1, 0, 0.014, 0.006, 1, 0, 1, 0.999, 0.006
Acid37, 0, 0, 0.218, 0.054, 0, 0, 0, 0, 0.004
Acid38, 1, 0, 0.017, 0.017, 1, 0, 1, 1, 0.009
Acid39, 1, 0, 0.017, 0.268, 1, 0, 1, 0.474, 0.535
Acid4, 1, 0, 0.101, 0.039, 1, 0, 1, 0.173, 0.846
Acid40, 1, 0, 0.014, 0.011, 1, 0, 1, 1, 0.009
Acid5, 0, 0, 0.21, 0.087, 0, 0, 0, 0, 0.026
Acid6, 1, 0, 0.03, 0.028, 1, 0, 1, 0.01, 1.001
Acid7, 1, 0, 0.074, 0.03, 1, 0, 1, 0.2, 0.807
Acid8, 0, 0, 0.309, 0.103, 0, 0, 0, 0, 0.023
Acid9, 0, 0, 0.329, 0.089, 0, 0, 0, 0, 0.023
Acti10, 1, 0, 0.019, 0.086, 1, 0, 1, 0.861, 0.153
Acti11, 1, 0, 0.016, 0.012, 1, 0, 1, 1, 0.007
Acti12, 4, 0.961, 0.026, 0.584, 1, 0, 4, 1.389, 1.534
Acti13, 1, 0, 0.085, 0.034, 1, 0, 1, 1, 0.017
Acti14, 1, 0, 0.017, 0.037, 1, 0, 1, 0.204, 0.809
Acti15, 1, 0, 0.019, 0.016, 1, 0, 1, 1, 0.012
Acti16, 1, 0.002, 0.018, 0.213, 1, 0, 1, 0.248, 0.762
Acti18, 0, 0, 0.271, 0.053, 0, 0, 0, 0, 0.017
Acti19, 1, 0, 0.419, 0.109, 1, 0, 1, 1, 0.013
Acti2, 0, 0, 0.074, 0.025, 0, 0, 0, 0, 0.013
Acti20, 0, 0, 0.283, 0.071, 0, 0, 0, 0, 0.016
Acti21, 1, 0, 0.541, 0.155, 1, 0, 1, 1, 0.01
Acti22, 1, 0, 0.02, 0.021, 1, 0, 1, 1, 0.011
Acti23, 2, 0.005, 1.024, 0.36, 1, 0, 2, 0.4, 1.613
Acti24, 1, 0, 0.012, 0.011, 1, 0, 1, 1, 0.009
Acti25, 1, 0, 0.033, 0.082, 1, 0, 1, 0.845, 0.169
Acti26, 0, 0, 0.182, 0.072, 0, 0, 0, 0, 0.012
Acti27, 0, 0, 0.014, 0.012, 0, 0, 0, 0, 0.008
Acti28, 1, 0, 0.8, 0.314, 1, 0, 1, 0.922, 0.085
Acti29, 0, 0, 0.014, 0.013, 0, 0, 0, 0, 0.011
Acti3, 0, 0, 0.877, 0.031, 0, 0, 0, 0, 0.011
Acti30, 0, 0, 0.02, 0.02, 0, 0, 0, 0, 0.015
Acti31, 0, 0, 0.823, 0.02, 0, 0, 0, 0, 0.014
Acti32, 1, 0, 0.007, 0.007, 1, 0, 1, 1, 0.006
Acti33, 0, 0, 1.014, 0.015, 0, 0, 0, 0, 0.01
Acti34, 1, 0, 0.069, 0.021, 1, 0, 1, 0.999, 0.013
Acti35, 1, 0, 0.017, 0.016, 1, 0, 1, 0.999, 0.013
Acti36, 1, 0, 0.152, 0.316, 1, 0, 1, 0.976, 0.034
Acti37, 1, 0, 1.038, 0.28, 1, 0, 1, 0.991, 0.022
Acti38, 1, 0.002, 0.025, 0.928, 1, 0, 1, 0.998, 0.014
Acti39, 0, 0, 0.154, 0.097, 0, 0, 0, 0, 0.018
Acti4, 0, 0, 0.131, 0.071, 0, 0, 0, 0, 0.013
Acti40, 1, 0, 0.017, 0.015, 1, 0, 1, 1, 0.01
Acti41, 1, 0.001, 0.123, 0.494, 1, 0, 1, 0.164, 0.844
Acti42, 1, 0, 0.173, 0.301, 1, 0, 1, 0.376, 0.647
Acti43, 1, 0, 0.719, 0.05, 1, 0, 1, 0.411, 0.601
Acti44, 0, 0, 1.062, 0.043, 0, 0, 0, 0, 0.013
Acti45, 1, 0, 0.172, 0.028, 1, 0, 1, 0.935, 0.073
Acti46, 1, 0.002, 0.197, 0.159, 1, 0, 1, 0.091, 0.917
Acti47, 1, 0, 0.948, 0.036, 1, 0, 1, 0.158, 0.849
Acti48, 1, 0, 1.089, 0.195, 1, 0, 1, 0.998, 0.009
Acti49, 1, 0, 0.01, 0.011, 1, 0, 1, 1, 0.009
Acti5, 0, 0, 0.242, 0.044, 0, 0, 0, 0, 0.006
Acti50, 1, 0, 0.937, 0.327, 1, 0, 1, 0.786, 0.222
Acti51, 0, 0, 0.02, 0.02, 0, 0, 0, 0, 0.014
Acti52, 1, 0, 0.066, 0.044, 1, 0, 1, 0.995, 0.017
Acti6, 0, 0, 0.216, 0.043, 0, 0, 0, 0, 0.008
Acti7, 0, 0, 0.84, 0.029, 0, 0, 0, 0, 0.021
Acti8, 1, 0, 0.018, 0.018, 1, 0, 1, 1, 0.015
Acti9, 0, 0, 0.018, 0.023, 0, 0, 0, 0, 0.015
Aero1, 0, 0, 0.048, 0.039, 0, 0, 0, 0, 0.02
Aqui1, 0, 0, 0.188, 0.025, 0, 0, 0, 0, 0.013
Aqui2, 1, 0, 0.005, 0.025, 1, 0, 1, 0.174, 0.83
Aqui3, 0, 0, 0.037, 0.023, 0, 0, 0, 0, 0.013
Aqui4, 0, 0, 0.021, 0.025, 0, 0, 0, 0, 0.011
Aqui5, 0, 0, 0.059, 0.021, 0, 0, 0, 0, 0.012
Aqui6, 0, 0, 0.024, 0.022, 0, 0, 0, 0, 0.014
Arma11, 1, 0.001, 0.325, 0.213, 1, 0, 1, 0.184, 0.827
Arma12, 1, 0, 0.256, 0.137, 1, 0, 1, 0.402, 0.611
Arma13, 0, 0, 0.019, 0.017, 0, 0, 0, 0, 0.016
Arma14, 0, 0, 0.021, 0.017, 0, 0, 0, 0, 0.01
Arma15, 0, 0, 0.013, 0.012, 0, 0, 0, 0, 0.01
Arma16, 1, 0.001, 0.211, 0.086, 1, 0, 1, 0.418, 0.591
Arma3, 1, 0.003, 0.357, 0.658, 1, 0, 1, 0.121, 0.901
Arma4, 0, 0, 0.019, 0.014, 0, 0, 0, 0, 0.008
Arma6, 1, 0, 0.019, 0.023, 1, 0, 1, 0.995, 0.02
Arma7, 1, 0.002, 0.474, 0.122, 1, 0, 1, 0.188, 0.827
Arma9, 1, 0, 0.035, 0.026, 1, 0, 1, 0.995, 0.016
Aure1, 1, 0.003, 0.471, 0.59, 1, 0, 1, 0.504, 0.52
Aure2, 1, 0, 0.682, 0.41, 1, 0, 1, 0.287, 0.734
Aure3, 0, 0.001, 1.447, 0.499, 0, 0, 0, 0, 0.026
B130X1, 0, 0.001, 0.622, 0.279, 0, 0, 0, 0, 0.033
BMS3X1, 0, 0, 0.217, 0.133, 0, 0, 0, 0, 0.023
Bact1, 0, 0, 0.021, 0.018, 0, 0, 0, 0, 0.014
Bact10, 0, 0, 0.079, 0.038, 0, 0, 0, 0, 0.012
Bact11, 0, 0, 0.019, 0.02, 0, 0, 0, 0, 0.012
Bact12, 0, 0, 0.014, 0.014, 0, 0, 0, 0, 0.01
Bact13, 0, 0, 0.024, 0.021, 0, 0, 0, 0, 0.012
Bact14, 0, 0, 0.021, 0.018, 0, 0, 0, 0, 0.015
Bact16, 0, 0, 0.019, 0.019, 0, 0, 0, 0, 0.012
Bact17, 0, 0, 0.023, 0.019, 0, 0, 0, 0, 0.012
Bact18, 0, 0, 0.02, 0.017, 0, 0, 0, 0, 0.011
Bact19, 1, 0.002, 0.425, 0.442, 1, 0, 1, 0.29, 0.72
Bact2, 0, 0, 0.017, 0.018, 0, 0, 0, 0, 0.015
Bact20, 0, 0, 0.02, 0.018, 0, 0, 0, 0, 0.012
Bact21, 1, 0, 0.051, 0.033, 1, 0, 1, 0.994, 0.016
Bact22, 0, 0, 0.013, 0.013, 0, 0, 0, 0, 0.008
Bact23, 1, 0.001, 0.013, 0.176, 1, 0, 1, 0.204, 0.804
Bact24, 0, 0, 0.018, 0.018, 0, 0, 0, 0, 0.014
Bact25, 0, 0, 0.017, 0.01, 0, 0, 0, 0, 0.007
Bact27, 1, 0, 0.147, 0.103, 1, 0, 1, 0.828, 0.182
Bact28, 0, 0, 0.215, 0.041, 0, 0, 0, 0, 0.007
Bact29, 1, 0.001, 1.011, 0.114, 1, 0, 1, 0.138, 0.872
Bact3, 0, 0, 0.023, 0.024, 0, 0, 0, 0, 0.017
Bact30, 0, 0, 0.02, 0.021, 0, 0, 0, 0, 0.011
Bact31, 0, 0, 0.019, 0.017, 0, 0, 0, 0, 0.013
Bact32, 0, 0, 0.021, 0.024, 0, 0, 0, 0, 0.012
Bact33, 1, 0, 0.278, 0.133, 1, 0, 1, 0.137, 0.877
Bact34, 0, 0, 0.064, 0.02, 0, 0, 0, 0, 0.012
Bact35, 0, 0, 0.575, 0.096, 0, 0, 0, 0, 0.008
Bact36, 0, 0, 0.17, 0.069, 0, 0, 0, 0, 0.012
Bact37, 1, 0, 0.016, 0.044, 1, 0, 1, 0.234, 0.775
Bact38, 0, 0, 0.026, 0.028, 0, 0, 0, 0, 0.02
Bact39, 1, 0.004, 0.15, 0.271, 1, 0, 1, 0.26, 0.745
Bact4, 0, 0, 0.033, 0.029, 0, 0, 0, 0, 0.023
Bact40, 1, 0.001, 0.254, 0.701, 1, 0, 1, 0.888, 0.123
Bact41, 1, 0.001, 0.385, 0.192, 1, 0, 1, 0.761, 0.254
Bact42, 0, 0, 0.25, 0.034, 0, 0, 0, 0, 0.009
Bact43, 1, 0.001, 0.028, 0.147, 1, 0, 1, 0.143, 0.869
Bact44, 0, 0, 0.481, 0.058, 0, 0, 0, 0, 0.007
