species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
AABM5X2, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
AABM5X3, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Abys1, 0, 0, 0.002, 0.004, 0, 0, 0, 0, 0.002
Acid1, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.003
Acid10, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acid11, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid12, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acid13, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid14, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid16, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid17, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.001
Acid18, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acid2, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid20, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid21, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acid22, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid23, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid24, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid25, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid26, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid27, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid29, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid31, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid33, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acid34, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid35, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acid36, 0, 0, 0.001, 0.003, 0, 0, 0, 0, 0.001
Acid38, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid39, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acid5, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acid7, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
