species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
AABM5X2, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
AABM5X3, 0, 0, 0.007, 0.008, 0, 0, 0, 0, 0.007
Abys1, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.004
Acid1, 0, 0, 0.003, 0.005, 0, 0, 0, 0, 0.003
Acid10, 0, 0, 0.003, 0.005, 0, 0, 0, 0, 0.002
Acid12, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid13, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid14, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acid16, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid17, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid18, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid2, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acid20, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.001
Acid21, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acid22, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid23, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Acid25, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.002
Acid26, 0, 0, 0.002, 0.004, 0, 0, 0, 0, 0.002
Acid27, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acid28, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid29, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.003
Acid31, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid32, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid33, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid34, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.001
Acid35, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acid36, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid37, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid39, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid4, 0, 0, 0.007, 0.008, 0, 0, 0, 0, 0.006
Acid40, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acid5, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acid6, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid7, 0, 0, 0.005, 0.003, 0, 0, 0, 0, 0.003
Acid8, 0, 0, 0.004, 0.006, 0, 0, 0, 0, 0.004
Acid9, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti10, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti11, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti12, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acti13, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.001
Acti14, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acti15, 0, 0, 0.879, 0.001, 0, 0, 0, 0, 0
Acti18, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti19, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.001
Acti2, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti20, 0, 0, 0.006, 0.008, 0, 0, 0, 0, 0.006
Acti21, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acti22, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti23, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.001
Acti24, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti27, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti28, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acti29, 0, 0, 0.004, 0.006, 0, 0, 0, 0, 0.004
Acti3, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti30, 0, 0, 0.006, 0.008, 0, 0, 0, 0, 0.006
Acti31, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.002
Acti32, 0, 0, 0.005, 0.004, 0, 0, 0, 0, 0
Acti33, 0, 0, 0.002, 0.004, 0, 0, 0, 0, 0.002
Acti34, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Acti37, 0, 0, 0.004, 0.002, 0, 0, 0, 0, 0.002
Acti38, 1, 0, 0.001, 0.045, 1, 0, 1, 0.903, 0.098
Acti39, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acti4, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.001
Acti40, 1, 0, 0.002, 0.047, 1, 0, 1, 0.885, 0.117
Acti41, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.001
Acti42, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
Acti45, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti46, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.001
Acti47, 0, 0, 0.001, 0.003, 0, 0, 0, 0, 0.001
Acti48, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acti49, 0, 0, 0.007, 0.006, 0, 0, 0, 0, 0.002
Acti5, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acti52, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acti6, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acti7, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acti9, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.005
Aero1, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Aqui1, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Aqui2, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Aqui3, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Aqui4, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Aqui5, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
Aqui6, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Arma11, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.004
Arma12, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Arma13, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Arma15, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Arma16, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Arma3, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.003
Arma4, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
