species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 1, 0.003, 0.068, 0.159, 1, 0, 1, 0.193, 0.846
AABM5X2, 0, 0, 0.252, 0.095, 0, 0, 0, 0, 0.033
AABM5X3, 1, 0.003, 0.112, 0.519, 1, 0, 1, 0.192, 0.843
Abys1, 1, 0.001, 0.67, 0.241, 1, 0, 1, 0.981, 0.054
Acid1, 1, 0.01, 0.307, 0.484, 1, 0, 1, 0.099, 0.939
Acid10, 0, 0, 0.118, 0.059, 0, 0, 0, 0, 0.037
Acid11, 1, 0.002, 0.054, 0.222, 1, 0, 1, 0.901, 0.131
Acid12, 2, 0.003, 1.046, 0.378, 1, 0, 2, 0.804, 1.227
Acid13, 1, 0.001, 0.865, 0.269, 1, 0, 1, 0.993, 0.048
Acid14, 0, 0, 0.049, 0.05, 0, 0, 0, 0, 0.032
Acid16, 0, 0, 0.946, 0.171, 0, 0, 0, 0, 0.026
Acid17, 1, 0.005, 0.155, 0.292, 1, 0, 1, 0.249, 0.792
Acid18, 0, 0, 0.142, 0.105, 0, 0, 0, 0, 0.044
Acid2, 0, 0, 0.141, 0.102, 0, 0, 0, 0, 0.043
Acid20, 0, 0.001, 0.306, 0.169, 0, 0, 0, 0, 0.02
Acid21, 2, 0.012, 0.125, 0.743, 1, 0, 2, 0.713, 1.324
Acid22, 0, 0, 0.387, 0.051, 0, 0, 0, 0, 0.035
Acid23, 1, 0.001, 0.583, 0.2, 1, 0, 1, 0.994, 0.044
Acid24, 0, 0, 0.392, 0.045, 0, 0, 0, 0, 0.029
Acid25, 2, 0.004, 1.021, 0.438, 1, 0, 2, 1.218, 0.814
Acid26, 3, 0.009, 0.102, 0.843, 1, 0, 3, 1.42, 1.617
Acid27, 0, 0, 1.003, 0.092, 0, 0, 0, 0, 0.021
Acid28, 0, 0, 0.048, 0.055, 0, 0, 0, 0, 0.03
Acid29, 1, 0.001, 0.063, 0.114, 1, 0, 1, 0.95, 0.08
Acid3, 0, 0, 0.046, 0.044, 0, 0, 0, 0, 0.029
Acid30, 0, 0, 0.127, 0.078, 0, 0, 0, 0, 0.028
Acid31, 0, 0, 0.95, 0.193, 0, 0, 0, 0, 0.029
Acid32, 0, 0, 1.507, 0.304, 0, 0, 0, 0, 0.031
Acid33, 0, 0, 0.464, 0.048, 0, 0, 0, 0, 0.029
Acid34, 1, 0.003, 0.069, 0.133, 1, 0, 1, 0.962, 0.066
Acid35, 1, 0, 0.114, 0.084, 1, 0, 1, 1, 0.026
Acid36, 1, 0.001, 1.008, 0.06, 1, 0, 1, 0.987, 0.032
Acid37, 0, 0, 0.131, 0.094, 0, 0, 0, 0, 0.032
Acid38, 2, 0.002, 0.067, 0.146, 1, 0, 2, 1.937, 0.09
Acid39, 1, 0, 0.107, 0.097, 1, 0, 1, 1, 0.019
Acid4, 0, 0, 0.276, 0.052, 0, 0, 0, 0, 0.03
Acid40, 1, 0.002, 0.053, 0.29, 1, 0, 1, 0.266, 0.766
Acid5, 0, 0, 1.53, 0.239, 0, 0, 0, 0, 0.049
Acid6, 0, 0, 0.042, 0.04, 0, 0, 0, 0, 0.024
Acid7, 3, 1.995, 0.086, 0.075, 1, 0, 3, 0.004, 0.077
Acid8, 1, 0.001, 1.114, 0.414, 1, 0, 1, 0.656, 0.372
Acid9, 2, 0.009, 0.969, 0.957, 1, 0, 2, 0.155, 1.893
Acti10, 1, 0.004, 0.071, 0.237, 1, 0, 1, 0.265, 0.774
Acti11, 0, 0, 0.043, 0.041, 0, 0, 0, 0, 0.023
Acti12, 1, 0.002, 0.058, 0.373, 1, 0, 1, 0.992, 0.038
Acti13, 1, 0.002, 0.062, 0.18, 1, 0, 1, 0.662, 0.378
Acti14, 0, 0, 0.059, 0.052, 0, 0, 0, 0, 0.026
Acti15, 1, 0, 0.061, 0.06, 1, 0, 1, 1, 0.041
Acti16, 1, 0, 0.058, 0.058, 1, 0, 1, 0.995, 0.038
Acti18, 1, 0, 0.06, 0.06, 1, 0, 1, 0.995, 0.04
Acti19, 0, 0, 0.059, 0.053, 0, 0, 0, 0, 0.033
Acti2, 1, 0.009, 0.713, 0.367, 1, 0, 1, 0.964, 0.076
Acti20, 1, 0.013, 0.878, 1.304, 1, 0, 1, 0.061, 0.975
Acti21, 0, 0.001, 1.049, 0.363, 0, 0, 0, 0, 0.03
Acti22, 0, 0, 0.056, 0.061, 0, 0, 0, 0, 0.036
Acti23, 0, 0, 0.052, 0.046, 0, 0, 0, 0, 0.026
Acti24, 1, 0, 0.313, 0.059, 1, 0, 1, 0.999, 0.034
Acti25, 0, 0, 0.183, 0.067, 0, 0, 0, 0, 0.026
Acti26, 0, 0, 0.123, 0.072, 0, 0, 0, 0, 0.03
Acti27, 1, 0, 0.302, 0.165, 1, 0, 1, 0.999, 0.039
Acti28, 0, 0, 0.032, 0.031, 0, 0, 0, 0, 0.021
Acti29, 0, 0, 0.29, 0.105, 0, 0, 0, 0, 0.04
Acti3, 0, 0, 0.326, 0.136, 0, 0, 0, 0, 0.033
Acti30, 1, 0.006, 0.233, 0.412, 1, 0, 1, 0.247, 0.796
Acti31, 2, 0.008, 0.126, 0.688, 1, 0, 2, 0.37, 1.656
Acti32, 1, 0, 0.794, 0.041, 1, 0, 1, 0.909, 0.121
Acti33, 1, 0.005, 0.051, 0.28, 1, 0, 1, 0.29, 0.736
Acti34, 0, 0.001, 0.086, 0.08, 0, 0, 0, 0, 0.032
Acti35, 0, 0, 0.335, 0.126, 0, 0, 0, 0, 0.025
Acti36, 0, 0, 0.042, 0.033, 0, 0, 0, 0, 0.022
Acti37, 0, 0.001, 0.3, 0.073, 0, 0, 0, 0, 0.031
Acti38, 1, 0.003, 0.797, 0.188, 1, 0, 1, 0.879, 0.14
Acti39, 1, 0.003, 0.208, 0.217, 1, 0, 1, 0.115, 0.924
Acti4, 0, 0, 0.217, 0.097, 0, 0, 0, 0, 0.041
Acti40, 1, 0, 0.047, 0.042, 1, 0, 1, 1, 0.031
Acti41, 0, 0, 0.05, 0.063, 0, 0, 0, 0, 0.037
Acti42, 1, 0.009, 0.422, 0.466, 1, 0, 1, 0.145, 0.884
Acti43, 1, 0, 0.038, 0.046, 1, 0, 1, 0.008, 1.018
Acti44, 1, 0.005, 0.105, 0.375, 1, 0, 1, 0.982, 0.031
Acti45, 0, 0, 0.035, 0.042, 0, 0, 0, 0, 0.022
Acti46, 0, 0, 0.042, 0.043, 0, 0, 0, 0, 0.029
Acti47, 0, 0, 0.029, 0.027, 0, 0, 0, 0, 0.016
Acti48, 1, 0, 0.063, 0.054, 1, 0, 1, 0.997, 0.036
Acti49, 1, 0.001, 0.828, 0.157, 1, 0, 1, 0.872, 0.154
Acti5, 2, 0.973, 0.892, 0.226, 1, 0, 2, 0.062, 0.87
Acti50, 0, 0, 0.036, 0.035, 0, 0, 0, 0, 0.025
Acti51, 2, 0.008, 0.071, 0.318, 1, 0, 2, 1.228, 0.8
Acti52, 1, 0, 1.038, 0.383, 1, 0, 1, 0.066, 0.969
Acti6, 0, 0.001, 0.062, 0.055, 0, 0, 0, 0, 0.028
Acti7, 1, 0.003, 0.149, 0.268, 1, 0, 1, 0.232, 0.79
Acti8, 3, 0.952, 0.066, 0.091, 1, 0, 3, 1.091, 0.835
Acti9, 1, 0.002, 0.129, 0.229, 1, 0, 1, 0.184, 0.877
Aero1, 1, 0.002, 0.721, 0.408, 1, 0, 1, 0.923, 0.13
