species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.005, 0.005, 0, 0, 0, 0, 0.004
AABM5X2, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.003
AABM5X3, 0, 0, 0.009, 0.009, 0, 0, 0, 0, 0.003
Abys1, 1, 0.004, 0.013, 0.319, 1, 0, 1, 0.21, 0.797
Acid1, 1, 0, 0.031, 0.025, 1, 0, 1, 0.156, 0.847
Acid10, 1, 0.002, 0.789, 0.404, 1, 0, 1, 0.684, 0.316
Acid11, 0, 0, 0.018, 0.013, 0, 0, 0, 0, 0.006
Acid12, 0, 0, 0.033, 0.02, 0, 0, 0, 0, 0.006
Acid13, 0, 0, 0.031, 0.018, 0, 0, 0, 0, 0.004
Acid14, 0, 0, 0.143, 0.007, 0, 0, 0, 0, 0.002
Acid16, 1, 0.001, 0.022, 0.076, 1, 0, 1, 0.235, 0.775
Acid17, 0, 0, 0.19, 0.023, 0, 0, 0, 0, 0.006
Acid18, 0, 0, 0.04, 0.036, 0, 0, 0, 0, 0.017
Acid2, 0, 0, 0.032, 0.023, 0, 0, 0, 0, 0.009
Acid20, 1, 0, 0.007, 0.008, 1, 0, 1, 1, 0.005
Acid21, 1, 0, 0.203, 0.075, 1, 0, 1, 0.993, 0.022
Acid22, 1, 0.002, 0.683, 0.558, 1, 0, 1, 0.809, 0.191
Acid23, 1, 0.004, 0.025, 0.404, 1, 0, 1, 0.244, 0.758
Acid24, 1, 0.007, 0.152, 0.975, 1, 0, 1, 0.929, 0.067
Acid25, 0, 0, 0.101, 0.074, 0, 0, 0, 0, 0.004
Acid26, 0, 0, 0.013, 0.009, 0, 0, 0, 0, 0.002
Acid27, 0, 0, 0.027, 0.019, 0, 0, 0, 0, 0.008
Acid28, 0, 0, 0.26, 0.06, 0, 0, 0, 0, 0.003
Acid29, 0, 0, 0.027, 0.022, 0, 0, 0, 0, 0.008
Acid3, 1, 0, 0.014, 0.016, 1, 0, 1, 0.133, 0.873
Acid30, 1, 0.002, 1.008, 0.373, 1, 0, 1, 0.341, 0.664
Acid31, 0, 0, 0.015, 0.009, 0, 0, 0, 0, 0.003
Acid32, 0, 0, 0.015, 0.009, 0, 0, 0, 0, 0.004
Acid33, 1, 0, 0.042, 0.017, 1, 0, 1, 0.997, 0.007
Acid34, 1, 0, 0.011, 0.058, 1, 0, 1, 0.989, 0.017
Acid35, 1, 0.002, 0.007, 0.302, 1, 0, 1, 0.215, 0.789
Acid36, 1, 0, 0.917, 0.018, 1, 0, 1, 0.89, 0.116
Acid37, 1, 0.001, 0.352, 0.079, 1, 0, 1, 0.994, 0.009
Acid38, 1, 0, 0.891, 0.009, 1, 0, 1, 0.917, 0.09
Acid39, 0, 0, 0.222, 0.042, 0, 0, 0, 0, 0.006
Acid4, 1, 0.001, 0.738, 0.26, 1, 0, 1, 0.305, 0.697
Acid40, 1, 0, 0.006, 0.004, 1, 0, 1, 1, 0.004
Acid5, 0, 0, 0.245, 0.098, 0, 0, 0, 0, 0.003
Acid6, 1, 0.001, 0.015, 0.063, 1, 0, 1, 0.249, 0.757
Acid7, 1, 0, 0.026, 0.014, 1, 0, 1, 0.999, 0.003
Acid8, 0, 0, 0.05, 0.038, 0, 0, 0, 0, 0.015
Acid9, 0, 0, 0.051, 0.016, 0, 0, 0, 0, 0.011
Acti10, 1, 0, 0.01, 0.004, 1, 0, 1, 1, 0.002
Acti11, 1, 0, 0.829, 0.07, 1, 0, 1, 0.965, 0.037
Acti12, 1, 0, 0.004, 0.003, 1, 0, 1, 1, 0.001
Acti13, 1, 0, 0.042, 0.011, 1, 0, 1, 0.991, 0.013
Acti14, 1, 0, 0.006, 0.003, 1, 0, 1, 1, 0.002
Acti15, 1, 0, 0.017, 0.008, 1, 0, 1, 1, 0.002
Acti16, 1, 0, 0.012, 0.008, 1, 0, 1, 0.999, 0.005
Acti18, 1, 0, 0.008, 0.003, 1, 0, 1, 1, 0.001
Acti19, 1, 0, 0.006, 0.004, 1, 0, 1, 1, 0.002
Acti2, 1, 0, 0.046, 0.021, 1, 0, 1, 0.479, 0.529
Acti20, 0, 0, 0.289, 0.129, 0, 0, 0, 0, 0.031
Acti21, 1, 0, 0.005, 0.003, 1, 0, 1, 1, 0.002
Acti22, 1, 0, 0.923, 0.011, 1, 0, 1, 0.871, 0.131
Acti23, 1, 0, 0.01, 0.009, 1, 0, 1, 1, 0.006
Acti24, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti25, 1, 0, 0.017, 0.008, 1, 0, 1, 1, 0.005
Acti26, 1, 0.004, 1.145, 0.272, 1, 0, 1, 0.246, 0.765
Acti27, 0, 0, 0.007, 0.004, 0, 0, 0, 0, 0.002
Acti28, 1, 0, 0.029, 0.015, 1, 0, 1, 0.899, 0.104
Acti29, 1, 0, 0.003, 0.007, 1, 0, 1, 0.994, 0.008
Acti3, 1, 0, 0.012, 0.005, 1, 0, 1, 1, 0.004
Acti30, 1, 0, 0.018, 0.171, 1, 0, 1, 0.992, 0.014
Acti31, 0, 0, 1.009, 0.009, 0, 0, 0, 0, 0.003
Acti32, 1, 0, 0.228, 0.001, 1, 0, 1, 0.983, 0.017
Acti33, 1, 0, 0.009, 0.006, 1, 0, 1, 1, 0.005
Acti34, 1, 0, 0.063, 0.008, 1, 0, 1, 0.997, 0.006
Acti35, 1, 0, 0.011, 0.01, 1, 0, 1, 1, 0.007
Acti36, 1, 0, 0.001, 0.001, 1, 0, 1, 0.995, 0.006
Acti37, 1, 0, 0.007, 0.049, 1, 0, 1, 0.77, 0.234
Acti38, 1, 0, 0.237, 0.044, 1, 0, 1, 0.97, 0.033
Acti39, 1, 0.004, 0.431, 0.426, 1, 0, 1, 0.008, 0.997
Acti4, 1, 0, 0.765, 0.014, 1, 0, 1, 0.738, 0.268
Acti40, 1, 0, 0.012, 0.004, 1, 0, 1, 1, 0
Acti41, 1, 0, 0.966, 0.011, 1, 0, 1, 0.761, 0.241
Acti42, 1, 0.001, 0.267, 0.235, 1, 0, 1, 0.365, 0.643
Acti43, 0, 0, 0.997, 0.002, 0, 0, 0, 0, 0.002
Acti44, 0, 0, 0.009, 0.006, 0, 0, 0, 0, 0
Acti45, 1, 0, 0.003, 0.001, 1, 0, 1, 1, 0
Acti46, 1, 0, 0.763, 0.02, 1, 0, 1, 0.967, 0.038
Acti47, 1, 0, 0.005, 0.004, 1, 0, 1, 1, 0.002
Acti48, 0, 0, 0.263, 0.04, 0, 0, 0, 0, 0.003
Acti49, 1, 0, 0.248, 0.045, 1, 0, 1, 0.968, 0.037
Acti5, 0, 0, 0.013, 0.009, 0, 0, 0, 0, 0.005
