species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.002
AABM5X2, 0, 0, 0.005, 0.005, 0, 0, 0, 0, 0.003
AABM5X3, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.004
Abys1, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.004
Acid1, 0, 0, 0.025, 0.009, 0, 0, 0, 0, 0.004
Acid10, 0, 0, 0.184, 0.015, 0, 0, 0, 0, 0.01
Acid11, 0, 0, 0.005, 0.005, 0, 0, 0, 0, 0.004
Acid12, 0, 0, 0.003, 0.005, 0, 0, 0, 0, 0.003
Acid13, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.005
Acid14, 1, 0, 0.223, 0.061, 1, 0, 1, 0.969, 0.04
Acid16, 0, 0, 0.011, 0.012, 0, 0, 0, 0, 0.01
Acid17, 0, 0, 0.029, 0.026, 0, 0, 0, 0, 0.008
Acid18, 0, 0, 0.006, 0.009, 0, 0, 0, 0, 0.004
Acid2, 0, 0, 0.01, 0.011, 0, 0, 0, 0, 0.008
Acid20, 1, 0, 0.005, 0.003, 1, 0, 1, 1, 0.002
Acid21, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.004
Acid22, 0, 0, 0.008, 0.007, 0, 0, 0, 0, 0.005
Acid23, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.002
Acid24, 0, 0, 0.004, 0.006, 0, 0, 0, 0, 0.003
Acid25, 0, 0, 0.042, 0.005, 0, 0, 0, 0, 0.003
Acid26, 1, 0, 0.009, 0.02, 1, 0, 1, 0.187, 0.817
Acid27, 0, 0, 0.005, 0.005, 0, 0, 0, 0, 0.004
Acid28, 0, 0, 0.975, 0.012, 0, 0, 0, 0, 0.004
Acid29, 0, 0, 0.008, 0.012, 0, 0, 0, 0, 0.007
Acid3, 1, 0, 0.973, 0.237, 1, 0, 1, 0.213, 0.79
Acid30, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid31, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.004
Acid32, 0, 0, 0.196, 0.009, 0, 0, 0, 0, 0.004
Acid33, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.002
Acid34, 0, 0, 0.006, 0.008, 0, 0, 0, 0, 0.005
Acid35, 0, 0, 0.347, 0.094, 0, 0, 0, 0, 0.007
Acid36, 1, 0, 0.005, 0.005, 1, 0, 1, 1, 0.002
Acid37, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid38, 1, 0, 0.006, 0.004, 1, 0, 1, 1, 0.003
Acid39, 1, 0.002, 0.006, 0.365, 1, 0, 1, 0.338, 0.664
Acid4, 1, 0, 0.215, 0.046, 1, 0, 1, 0.01, 0.995
Acid40, 1, 0, 0.006, 0.003, 1, 0, 1, 1, 0.003
Acid5, 0, 0, 0.009, 0.012, 0, 0, 0, 0, 0.009
Acid6, 1, 0.001, 0.01, 0.022, 1, 0, 1, 0.965, 0.038
Acid7, 0, 0, 0.381, 0.038, 0, 0, 0, 0, 0.003
Acid8, 0, 0, 0.018, 0.014, 0, 0, 0, 0, 0.007
Acid9, 0, 0, 0.011, 0.007, 0, 0, 0, 0, 0.005
Acti10, 1, 0, 0.039, 0.077, 1, 0, 1, 0.21, 0.795
Acti11, 0, 0, 0.019, 0.012, 0, 0, 0, 0, 0.003
Acti12, 1, 0, 0.01, 0.008, 1, 0, 1, 0.999, 0.007
Acti13, 0, 0, 0.219, 0.026, 0, 0, 0, 0, 0.003
Acti14, 0, 0, 0.048, 0.034, 0, 0, 0, 0, 0.006
Acti15, 1, 0.001, 0.322, 0.283, 1, 0, 1, 0.982, 0.023
Acti16, 0, 0, 0.013, 0.012, 0, 0, 0, 0, 0.002
Acti18, 0, 0, 0.017, 0.011, 0, 0, 0, 0, 0.006
Acti19, 0, 0, 0.295, 0.017, 0, 0, 0, 0, 0.005
Acti2, 0, 0, 0.031, 0.025, 0, 0, 0, 0, 0.011
Acti20, 0, 0, 0.007, 0.004, 0, 0, 0, 0, 0.004
Acti21, 1, 0, 0.008, 0.008, 1, 0, 1, 0.999, 0.005
Acti22, 0, 0, 0.02, 0.017, 0, 0, 0, 0, 0.004
Acti23, 1, 0.001, 0.004, 0.047, 1, 0, 1, 0.29, 0.713
Acti24, 0, 0, 0.006, 0.004, 0, 0, 0, 0, 0.003
Acti25, 1, 0.001, 0.027, 0.253, 1, 0, 1, 0.198, 0.804
Acti26, 0, 0, 0.128, 0.063, 0, 0, 0, 0, 0.009
Acti27, 0, 0, 0.007, 0.003, 0, 0, 0, 0, 0.002
Acti28, 3, 0.935, 0.818, 0.256, 1, 0, 3, 1.01, 0.805
Acti29, 0, 0, 0.005, 0.007, 0, 0, 0, 0, 0.002
Acti3, 0, 0, 0.248, 0.031, 0, 0, 0, 0, 0.004
Acti30, 0, 0, 0.008, 0.009, 0, 0, 0, 0, 0.007
Acti31, 0, 0, 0.166, 0.059, 0, 0, 0, 0, 0.001
Acti32, 1, 0.001, 0.923, 0.155, 1, 0, 1, 0.803, 0.2
