species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.006, 0.005, 0, 0, 0, 0, 0.005
AABM5X2, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.003
AABM5X3, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
Abys1, 1, 0.004, 0.963, 0.168, 1, 0, 1, 0.331, 0.668
Acid1, 0, 0, 0.006, 0.004, 0, 0, 0, 0, 0.002
Acid10, 1, 0, 0.007, 0.099, 1, 0, 1, 0.804, 0.201
Acid11, 0, 0, 0.221, 0.033, 0, 0, 0, 0, 0.002
Acid12, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acid13, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acid14, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acid16, 0, 0, 0.061, 0.014, 0, 0, 0, 0, 0.005
Acid17, 0, 0, 0.01, 0.009, 0, 0, 0, 0, 0.006
Acid18, 1, 0.002, 0.013, 0.075, 1, 0, 1, 0.192, 0.81
Acid2, 0, 0, 0.205, 0.015, 0, 0, 0, 0, 0.004
Acid20, 0, 0, 0.002, 0, 0, 0, 0, 0, 0
Acid21, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.002
Acid22, 1, 0.002, 0.035, 0.185, 1, 0, 1, 0.803, 0.197
Acid23, 0, 0, 0.007, 0.006, 0, 0, 0, 0, 0.004
Acid24, 0, 0, 0.143, 0.035, 0, 0, 0, 0, 0.002
Acid25, 0, 0, 0.007, 0.01, 0, 0, 0, 0, 0.005
Acid26, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0
Acid27, 0, 0, 0.007, 0.005, 0, 0, 0, 0, 0.001
Acid28, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.002
Acid29, 0, 0, 0.008, 0.005, 0, 0, 0, 0, 0.002
Acid3, 0, 0, 0.005, 0.004, 0, 0, 0, 0, 0.004
Acid30, 0, 0, 0.005, 0.003, 0, 0, 0, 0, 0.003
Acid31, 1, 0.002, 0.006, 0.123, 1, 0, 1, 0.219, 0.785
Acid32, 0, 0, 0.006, 0.004, 0, 0, 0, 0, 0.003
