species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.025, 0.021, 0, 0, 0, 0, 0.018
AABM5X2, 0, 0, 0.019, 0.019, 0, 0, 0, 0, 0.012
AABM5X3, 0, 0, 0.018, 0.022, 0, 0, 0, 0, 0.015
Abys1, 1, 0, 1.194, 0.998, 1, 0, 1, 0.358, 0.667
Acid1, 1, 0, 0.024, 0.027, 1, 0, 1, 0.99, 0.024
Acid10, 1, 0.002, 0.932, 0.678, 1, 0, 1, 0.212, 0.802
Acid11, 0, 0, 0.022, 0.02, 0, 0, 0, 0, 0.012
Acid12, 0, 0, 0.047, 0.037, 0, 0, 0, 0, 0.015
Acid13, 0, 0, 0.045, 0.038, 0, 0, 0, 0, 0.013
Acid14, 1, 0, 0.299, 0.106, 1, 0, 1, 0.999, 0.01
Acid16, 1, 0.002, 0.02, 0.337, 1, 0, 1, 0.014, 0.995
Acid17, 0, 0, 1.013, 0.025, 0, 0, 0, 0, 0.013
Acid18, 0, 0, 0.023, 0.021, 0, 0, 0, 0, 0.011
Acid2, 0, 0, 0.032, 0.026, 0, 0, 0, 0, 0.02
Acid20, 1, 0, 1.016, 0.025, 1, 0, 1, 1, 0.014
Acid21, 0, 0, 0.013, 0.01, 0, 0, 0, 0, 0.008
Acid22, 2, 0.001, 0.061, 0.449, 1, 0, 2, 1.123, 0.882
Acid23, 1, 0.002, 0.021, 0.403, 1, 0, 1, 0.182, 0.83
Acid24, 0, 0, 0.128, 0.072, 0, 0, 0, 0, 0.011
Acid25, 0, 0, 0.023, 0.023, 0, 0, 0, 0, 0.013
Acid26, 0, 0, 0.006, 0.009, 0, 0, 0, 0, 0.006
Acid27, 0, 0, 0.024, 0.023, 0, 0, 0, 0, 0.011
Acid28, 0, 0, 1.031, 0.024, 0, 0, 0, 0, 0.011
Acid29, 0, 0, 0.023, 0.022, 0, 0, 0, 0, 0.01
Acid3, 1, 0.002, 1.022, 0.534, 1, 0, 1, 0.281, 0.731
