species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.229, 0.086, 0, 0, 0, 0, 0.012
AABM5X2, 1, 0.001, 0.027, 0.24, 1, 0, 1, 0.208, 0.809
AABM5X3, 1, 0.004, 0.034, 0.47, 1, 0, 1, 0.071, 0.94
Abys1, 1, 0.002, 0.744, 0.766, 1, 0, 1, 0.084, 0.927
Acid1, 0, 0, 0.029, 0.023, 0, 0, 0, 0, 0.017
Acid10, 1, 0.002, 0.035, 0.073, 1, 0, 1, 0.627, 0.392
Acid11, 1, 0.001, 0.207, 0.155, 1, 0, 1, 0.176, 0.838
Acid12, 1, 0.002, 0.027, 0.36, 1, 0, 1, 0.196, 0.821
Acid13, 0, 0, 0.22, 0.077, 0, 0, 0, 0, 0.016
Acid14, 0, 0, 0.022, 0.02, 0, 0, 0, 0, 0.014
Acid16, 0, 0, 0.138, 0.062, 0, 0, 0, 0, 0.024
Acid17, 0, 0, 0.029, 0.035, 0, 0, 0, 0, 0.017
Acid18, 1, 0.002, 0.036, 0.549, 1, 0, 1, 0.212, 0.805
Acid2, 0, 0.001, 0.255, 0.092, 0, 0, 0, 0, 0.025
Acid20, 0, 0, 0.013, 0.02, 0, 0, 0, 0, 0.011
Acid21, 0, 0, 0.023, 0.022, 0, 0, 0, 0, 0.017
Acid22, 1, 0, 0.039, 0.04, 1, 0, 1, 0.652, 0.364
Acid23, 0, 0, 0.066, 0.039, 0, 0, 0, 0, 0.016
Acid24, 0, 0, 0.062, 0.027, 0, 0, 0, 0, 0.011
Acid25, 0, 0, 0.026, 0.037, 0, 0, 0, 0, 0.022
Acid26, 0, 0, 0.016, 0.019, 0, 0, 0, 0, 0.008
Acid27, 0, 0, 0.026, 0.023, 0, 0, 0, 0, 0.016
Acid28, 1, 0, 0.017, 0.219, 1, 0, 1, 0.229, 0.782
Acid29, 0, 0, 0.03, 0.036, 0, 0, 0, 0, 0.02
Acid3, 0, 0, 0.02, 0.025, 0, 0, 0, 0, 0.012
Acid30, 0, 0, 0.023, 0.021, 0, 0, 0, 0, 0.017
Acid31, 1, 0.002, 0.208, 0.351, 1, 0, 1, 0.188, 0.838
Acid32, 0, 0, 0.018, 0.016, 0, 0, 0, 0, 0.01
Acid33, 1, 0, 0.024, 0.206, 1, 0, 1, 0.269, 0.746
Acid34, 0, 0, 0.033, 0.021, 0, 0, 0, 0, 0.005
Acid35, 0, 0, 0.062, 0.042, 0, 0, 0, 0, 0.016
Acid36, 0, 0, 0.018, 0.02, 0, 0, 0, 0, 0.013
Acid37, 0, 0, 0.021, 0.023, 0, 0, 0, 0, 0.015
Acid38, 0, 0, 0.018, 0.016, 0, 0, 0, 0, 0.013
Acid39, 0, 0, 0.062, 0.053, 0, 0, 0, 0, 0.016
Acid4, 0, 0, 0.035, 0.026, 0, 0, 0, 0, 0.016
Acid40, 0, 0, 0.014, 0.014, 0, 0, 0, 0, 0.012
Acid5, 0, 0, 0.032, 0.025, 0, 0, 0, 0, 0.017
Acid6, 0, 0, 0.259, 0.056, 0, 0, 0, 0, 0.024
Acid7, 0, 0, 0.026, 0.024, 0, 0, 0, 0, 0.016
Acid8, 1, 0.004, 0.323, 0.454, 1, 0, 1, 0.199, 0.822
Acid9, 1, 0, 0.053, 0.292, 1, 0, 1, 0.388, 0.627
Acti10, 1, 0, 0.02, 0.028, 1, 0, 1, 0.988, 0.025
Acti11, 1, 0, 0.21, 0.057, 1, 0, 1, 0, 1.01
Acti12, 0, 0, 0.018, 0.013, 0, 0, 0, 0, 0.012
Acti13, 1, 0, 0.02, 0.019, 1, 0, 1, 1, 0.014
Acti14, 1, 0.008, 0.044, 1.014, 1, 0, 1, 0.99, 0.015
Acti15, 1, 0, 0.012, 0.042, 1, 0, 1, 0.036, 0.971
Acti16, 1, 0, 0.037, 0.037, 1, 0, 1, 1, 0.024
Acti18, 1, 0, 0.025, 0.025, 1, 0, 1, 1, 0.012
Acti19, 1, 0, 0.014, 0.014, 1, 0, 1, 0.999, 0.011
Acti2, 0, 0.001, 0.025, 0.023, 0, 0, 0, 0, 0.019
Acti20, 0, 0, 0.875, 0.346, 0, 0, 0, 0, 0.016
Acti21, 0, 0, 0.02, 0.022, 0, 0, 0, 0, 0.014
Acti22, 1, 0, 0.017, 0.105, 1, 0, 1, 0.196, 0.817
Acti23, 0, 0, 1.022, 0.028, 0, 0, 0, 0, 0.019
Acti24, 0, 0, 0.017, 0.015, 0, 0, 0, 0, 0.01
Acti25, 1, 0.002, 0.047, 0.226, 1, 0, 1, 0.097, 0.917
Acti26, 0, 0, 0.094, 0.035, 0, 0, 0, 0, 0.013
Acti27, 0, 0, 0.027, 0.033, 0, 0, 0, 0, 0.011
Acti28, 2, 0.991, 0.032, 1.002, 1, 0, 2, 0.017, 0.029
Acti29, 0, 0, 0.023, 0.028, 0, 0, 0, 0, 0.012
Acti3, 0, 0, 1.008, 0.017, 0, 0, 0, 0, 0.013
Acti30, 0, 0, 0.054, 0.044, 0, 0, 0, 0, 0.014
Acti31, 0, 0, 0.219, 0.07, 0, 0, 0, 0, 0.018
Acti32, 0, 0, 0.028, 0.026, 0, 0, 0, 0, 0.02
Acti33, 1, 0.003, 0.03, 0.39, 1, 0, 1, 0.339, 0.681
Acti34, 0, 0, 0.194, 0.033, 0, 0, 0, 0, 0.014
Acti35, 0, 0, 0.36, 0.134, 0, 0, 0, 0, 0.014
Acti36, 0, 0, 0.033, 0.031, 0, 0, 0, 0, 0.019
Acti37, 0, 0, 0.042, 0.025, 0, 0, 0, 0, 0.015
Acti38, 0, 0, 0.018, 0.015, 0, 0, 0, 0, 0.01
Acti39, 0, 0, 0.764, 0.083, 0, 0, 0, 0, 0.018
Acti4, 0, 0, 0.689, 0.033, 0, 0, 0, 0, 0.015
Acti40, 1, 0, 0.035, 0.035, 1, 0, 1, 0.999, 0.021
Acti41, 1, 0, 0.02, 0.02, 1, 0, 1, 0.025, 0.985
Acti42, 1, 0, 0.02, 0.017, 1, 0, 1, 0.999, 0.012
Acti43, 0, 0, 0.025, 0.021, 0, 0, 0, 0, 0.011
Acti44, 0, 0, 0.022, 0.026, 0, 0, 0, 0, 0.019
Acti45, 0, 0, 0.064, 0.056, 0, 0, 0, 0, 0.018
Acti46, 0, 0, 0.043, 0.022, 0, 0, 0, 0, 0.008
Acti47, 0, 0, 0.061, 0.046, 0, 0, 0, 0, 0.015
Acti48, 0, 0, 0.018, 0.009, 0, 0, 0, 0, 0.006
Acti49, 0, 0, 0.025, 0.029, 0, 0, 0, 0, 0.017
Acti5, 0, 0, 0.02, 0.021, 0, 0, 0, 0, 0.016
Acti50, 1, 0.001, 0.041, 0.027, 1, 0, 1, 0.985, 0.028
Acti51, 0, 0, 0.031, 0.027, 0, 0, 0, 0, 0.015
Acti52, 0, 0, 0.013, 0.013, 0, 0, 0, 0, 0.01
Acti6, 1, 0, 0.039, 0.038, 1, 0, 1, 0.998, 0.018
Acti7, 1, 0.005, 0.032, 0.925, 1, 0, 1, 0.985, 0.021
Acti8, 0, 0, 0.018, 0.017, 0, 0, 0, 0, 0.011
Acti9, 0, 0, 0.032, 0.031, 0, 0, 0, 0, 0.021
Aero1, 0, 0, 0.041, 0.032, 0, 0, 0, 0, 0.02
Aqui1, 1, 0.005, 0.034, 1.01, 1, 0, 1, 0.988, 0.022
Aqui2, 1, 0, 0.025, 0.017, 1, 0, 1, 0.992, 0.018
Aqui3, 1, 0, 0.192, 0.13, 1, 0, 1, 0.005, 1.012
Aqui4, 0, 0, 0.027, 0.023, 0, 0, 0, 0, 0.016
Aqui5, 0, 0, 0.207, 0.035, 0, 0, 0, 0, 0.008
Aqui6, 0, 0, 0.024, 0.023, 0, 0, 0, 0, 0.013
Arma11, 1, 0.007, 1.147, 0.767, 1, 0, 1, 0.633, 0.376
Arma12, 1, 0.003, 1.025, 0.845, 1, 0, 1, 0.682, 0.332
Arma13, 0, 0, 0.02, 0.021, 0, 0, 0, 0, 0.01
Arma14, 1, 0, 0.062, 0.047, 1, 0, 1, 0.999, 0.017
Arma15, 0, 0, 0.024, 0.022, 0, 0, 0, 0, 0.014
Arma16, 1, 0.003, 0.042, 0.335, 1, 0, 1, 0.303, 0.709
Arma3, 1, 0.004, 0.374, 0.25, 1, 0, 1, 0.11, 0.913
Arma4, 1, 0, 0.06, 0.051, 1, 0, 1, 1, 0.015
Arma6, 0, 0, 0.025, 0.015, 0, 0, 0, 0, 0.009
Arma7, 1, 0.001, 0.735, 0.547, 1, 0, 1, 0.966, 0.044
Arma9, 0, 0, 0.071, 0.047, 0, 0, 0, 0, 0.019
Aure1, 0, 0, 0.03, 0.032, 0, 0, 0, 0, 0.019
Aure2, 0, 0, 0.031, 0.032, 0, 0, 0, 0, 0.02
Aure3, 0, 0, 0.072, 0.038, 0, 0, 0, 0, 0.013
B130X1, 0, 0, 0.564, 0.278, 0, 0, 0, 0, 0.025
BMS3X1, 0, 0, 0.641, 0.445, 0, 0, 0, 0, 0.015
Bact1, 0, 0, 0.018, 0.019, 0, 0, 0, 0, 0.008
Bact10, 0, 0, 0.021, 0.023, 0, 0, 0, 0, 0.012
Bact11, 0, 0, 0.037, 0.037, 0, 0, 0, 0, 0.027
Bact12, 0, 0, 0.03, 0.031, 0, 0, 0, 0, 0.017
Bact13, 0, 0, 0.022, 0.021, 0, 0, 0, 0, 0.015
Bact14, 0, 0, 0.03, 0.022, 0, 0, 0, 0, 0.017
Bact16, 0, 0, 0.019, 0.018, 0, 0, 0, 0, 0.012
Bact17, 0, 0, 0.045, 0.043, 0, 0, 0, 0, 0.022
Bact18, 0, 0, 0.025, 0.018, 0, 0, 0, 0, 0.016
Bact19, 1, 0.003, 0.017, 0.313, 1, 0, 1, 0.254, 0.754
Bact2, 0, 0, 0.022, 0.024, 0, 0, 0, 0, 0.015
Bact20, 0, 0, 0.286, 0.13, 0, 0, 0, 0, 0.012
Bact21, 0, 0, 0.026, 0.021, 0, 0, 0, 0, 0.016
Bact22, 0, 0, 0.022, 0.023, 0, 0, 0, 0, 0.016
Bact23, 0, 0, 0.016, 0.019, 0, 0, 0, 0, 0.014
Bact24, 0, 0, 0.019, 0.022, 0, 0, 0, 0, 0.015
Bact25, 0, 0, 0.028, 0.022, 0, 0, 0, 0, 0.013
Bact27, 0, 0, 0.088, 0.06, 0, 0, 0, 0, 0.012
Bact28, 0, 0, 0.019, 0.022, 0, 0, 0, 0, 0.017
Bact29, 0, 0, 0.024, 0.027, 0, 0, 0, 0, 0.016
Bact3, 0, 0, 0.028, 0.025, 0, 0, 0, 0, 0.015
Bact30, 1, 0, 0.026, 0.022, 1, 0, 1, 1, 0.015
Bact31, 0, 0, 0.013, 0.019, 0, 0, 0, 0, 0.008
Bact32, 1, 0, 0.023, 0.026, 1, 0, 1, 1, 0.012
Bact33, 0, 0, 0.015, 0.017, 0, 0, 0, 0, 0.007
Bact34, 0, 0, 0.027, 0.029, 0, 0, 0, 0, 0.023
Bact35, 0, 0, 0.06, 0.036, 0, 0, 0, 0, 0.019
Bact36, 0, 0, 0.02, 0.025, 0, 0, 0, 0, 0.017
Bact37, 0, 0, 0.024, 0.027, 0, 0, 0, 0, 0.02
Bact38, 0, 0, 0.021, 0.022, 0, 0, 0, 0, 0.016
Bact39, 0, 0, 0.012, 0.01, 0, 0, 0, 0, 0.004
Bact4, 0, 0, 0.012, 0.012, 0, 0, 0, 0, 0.009
Bact40, 1, 0, 0.019, 0.245, 1, 0, 1, 0.239, 0.769
Bact41, 0, 0, 0.262, 0.148, 0, 0, 0, 0, 0.012
Bact42, 0, 0, 0.019, 0.02, 0, 0, 0, 0, 0.015
Bact43, 0, 0, 0.016, 0.016, 0, 0, 0, 0, 0.013
Bact44, 0, 0, 0.029, 0.024, 0, 0, 0, 0, 0.009
Bact5, 0, 0, 0.018, 0.019, 0, 0, 0, 0, 0.011
Bact6, 0, 0, 0.016, 0.013, 0, 0, 0, 0, 0.009
Bact7, 0, 0, 0.033, 0.025, 0, 0, 0, 0, 0.02
Bact8, 0, 0, 0.031, 0.036, 0, 0, 0, 0, 0.018
Bact9, 0, 0, 0.035, 0.042, 0, 0, 0, 0, 0.027
Bdell10, 0, 0.001, 0.043, 0.029, 0, 0, 0, 0, 0.014
Bdell11, 0, 0, 0.016, 0.011, 0, 0, 0, 0, 0.006
Bdell12, 0, 0.001, 0.073, 0.056, 0, 0, 0, 0, 0.018
Bdell13, 0, 0, 0.193, 0.157, 0, 0, 0, 0, 0.014
Bdell14, 0, 0, 0.03, 0.028, 0, 0, 0, 0, 0.018
Bdell15, 0, 0, 0.025, 0.026, 0, 0, 0, 0, 0.018
Bdell16, 0, 0, 0.017, 0.018, 0, 0, 0, 0, 0.007
Bdell17, 0, 0, 0.027, 0.025, 0, 0, 0, 0, 0.017
Bdell2, 0, 0, 0.043, 0.04, 0, 0, 0, 0, 0.015
Bdell3, 0, 0, 0.073, 0.067, 0, 0, 0, 0, 0.019
Bdell4, 0, 0, 0.029, 0.029, 0, 0, 0, 0, 0.017
Bdell5, 0, 0, 0.027, 0.028, 0, 0, 0, 0, 0.021
