species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.02, 0.018, 0, 0, 0, 0, 0.013
AABM5X2, 0, 0, 0.017, 0.016, 0, 0, 0, 0, 0.01
AABM5X3, 0, 0, 0.017, 0.019, 0, 0, 0, 0, 0.014
Abys1, 0, 0, 0.029, 0.022, 0, 0, 0, 0, 0.015
Acid1, 0, 0, 0.026, 0.03, 0, 0, 0, 0, 0.014
Acid10, 0, 0, 0.152, 0.025, 0, 0, 0, 0, 0.018
Acid11, 1, 0.006, 0.024, 0.373, 1, 0, 1, 0.212, 0.801
Acid12, 1, 0, 0.022, 0.02, 1, 0, 1, 0.154, 0.858
Acid13, 0, 0, 0.179, 0.025, 0, 0, 0, 0, 0.015
Acid14, 1, 0.002, 0.295, 0.225, 1, 0, 1, 0.667, 0.344
Acid16, 0, 0, 0.149, 0.054, 0, 0, 0, 0, 0.019
Acid17, 0, 0, 0.025, 0.03, 0, 0, 0, 0, 0.013
Acid18, 0, 0.001, 0.035, 0.03, 0, 0, 0, 0, 0.016
Acid2, 0, 0, 0.04, 0.046, 0, 0, 0, 0, 0.022
Acid20, 1, 0, 0.023, 0.021, 1, 0, 1, 0.999, 0.011
Acid21, 0, 0, 0.017, 0.012, 0, 0, 0, 0, 0.01
Acid22, 0, 0, 0.029, 0.021, 0, 0, 0, 0, 0.016
Acid23, 0, 0, 0.051, 0.025, 0, 0, 0, 0, 0.011
Acid24, 0, 0, 0.023, 0.027, 0, 0, 0, 0, 0.016
Acid25, 0, 0, 0.056, 0.031, 0, 0, 0, 0, 0.014
Acid26, 1, 0, 0.011, 0.052, 1, 0, 1, 0.168, 0.838
Acid27, 0, 0, 0.019, 0.018, 0, 0, 0, 0, 0.014
Acid28, 1, 0.001, 0.662, 0.499, 1, 0, 1, 0.26, 0.751
Acid29, 0, 0, 0.018, 0.019, 0, 0, 0, 0, 0.013
Acid3, 1, 0, 0.695, 0.291, 1, 0, 1, 0.267, 0.746
Acid30, 0, 0, 0.023, 0.021, 0, 0, 0, 0, 0.016
Acid31, 0, 0, 0.231, 0.061, 0, 0, 0, 0, 0.014
Acid32, 0, 0, 0.191, 0.045, 0, 0, 0, 0, 0.018
Acid33, 0, 0, 0.017, 0.017, 0, 0, 0, 0, 0.014
Acid34, 0, 0, 0.017, 0.02, 0, 0, 0, 0, 0.01
Acid35, 0, 0, 0.243, 0.076, 0, 0, 0, 0, 0.016
Acid36, 1, 0, 0.014, 0.012, 1, 0, 1, 1, 0.011
Acid37, 0, 0, 0.021, 0.02, 0, 0, 0, 0, 0.014
Acid38, 1, 0, 0.016, 0.015, 1, 0, 1, 1, 0.013
Acid39, 1, 0, 0.058, 0.113, 1, 0, 1, 0.186, 0.831
Acid4, 1, 0, 0.175, 0.039, 1, 0, 1, 0.008, 1.005
Acid40, 1, 0.001, 0.027, 0.024, 1, 0, 1, 1, 0.014
Acid5, 0, 0, 0.041, 0.025, 0, 0, 0, 0, 0.02
Acid6, 1, 0.001, 0.287, 0.281, 1, 0, 1, 0.637, 0.376
Acid7, 0, 0, 0.301, 0.047, 0, 0, 0, 0, 0.012
Acid8, 0, 0, 0.258, 0.109, 0, 0, 0, 0, 0.014
Acid9, 1, 0.004, 0.037, 0.217, 1, 0, 1, 0.276, 0.748
Acti10, 1, 0.004, 0.311, 0.559, 1, 0, 1, 0.93, 0.082
Acti11, 1, 0.007, 0.064, 0.696, 1, 0, 1, 0.177, 0.841
Acti12, 1, 0, 0.052, 0.047, 1, 0, 1, 0.999, 0.015
Acti13, 0, 0, 0.033, 0.021, 0, 0, 0, 0, 0.015
Acti14, 0, 0, 1.023, 0.035, 0, 0, 0, 0, 0.02
Acti15, 1, 0, 0.069, 0.051, 1, 0, 1, 0.859, 0.151
Acti16, 0, 0, 0.025, 0.021, 0, 0, 0, 0, 0.013
Acti18, 0, 0, 0.028, 0.03, 0, 0, 0, 0, 0.016
Acti19, 0, 0, 0.166, 0.021, 0, 0, 0, 0, 0.015
Acti2, 0, 0, 0.033, 0.036, 0, 0, 0, 0, 0.025
Acti20, 0, 0, 0.021, 0.021, 0, 0, 0, 0, 0.017
Acti21, 1, 0.001, 0.05, 0.035, 1, 0, 1, 0.999, 0.012
Acti22, 0, 0, 0.23, 0.096, 0, 0, 0, 0, 0.014
Acti23, 1, 0, 0.014, 0.022, 1, 0, 1, 0.149, 0.863
Acti24, 0, 0, 0.02, 0.021, 0, 0, 0, 0, 0.014
Acti25, 1, 0.005, 0.042, 0.683, 1, 0, 1, 0.913, 0.095
Acti26, 0, 0, 0.352, 0.084, 0, 0, 0, 0, 0.016
Acti27, 0, 0, 0.019, 0.022, 0, 0, 0, 0, 0.016
Acti28, 3, 1.247, 1.203, 0.756, 1, 0, 3, 0.46, 0.741
Acti29, 0, 0, 0.021, 0.021, 0, 0, 0, 0, 0.017
Acti3, 1, 0.01, 0.97, 0.768, 1, 0, 1, 0.279, 0.735
Acti30, 0, 0, 0.012, 0.011, 0, 0, 0, 0, 0.01
Acti31, 0, 0, 0.952, 0.333, 0, 0, 0, 0, 0.008
Acti32, 1, 0, 0.017, 0.014, 1, 0, 1, 1, 0.007
Acti33, 1, 0.004, 1.016, 0.333, 1, 0, 1, 0.267, 0.744
Acti34, 1, 0, 0.03, 0.027, 1, 0, 1, 1, 0.011
Acti35, 1, 0, 0.291, 0.107, 1, 0, 1, 0.988, 0.023
Acti36, 1, 0, 0.261, 0.102, 1, 0, 1, 0.02, 0.994
Acti37, 1, 0, 0.775, 0.129, 1, 0, 1, 0.966, 0.051
Acti38, 1, 0.004, 0.025, 0.314, 1, 0, 1, 0.996, 0.008
Acti39, 0, 0, 0.061, 0.041, 0, 0, 0, 0, 0.018
Acti4, 0, 0, 0.07, 0.051, 0, 0, 0, 0, 0.021
Acti40, 0, 0, 0.143, 0.046, 0, 0, 0, 0, 0.015
Acti41, 1, 0, 1.007, 0.182, 1, 0, 1, 0.717, 0.298
Acti42, 0, 0, 0.021, 0.022, 0, 0, 0, 0, 0.014
Acti43, 2, 0.01, 0.069, 0.732, 1, 0, 2, 0.213, 1.792
Acti44, 0, 0, 0.667, 0.036, 0, 0, 0, 0, 0.011
