species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.019, 0.016, 0, 0, 0, 0, 0.015
AABM5X2, 0, 0, 0.017, 0.021, 0, 0, 0, 0, 0.013
AABM5X3, 0, 0, 0.016, 0.014, 0, 0, 0, 0, 0.008
Abys1, 1, 0, 0.422, 0.352, 1, 0, 1, 0.551, 0.479
Acid1, 1, 0.003, 0.017, 0.323, 1, 0, 1, 0.225, 0.779
Acid10, 1, 0, 0.067, 0.256, 1, 0, 1, 0.388, 0.623
Acid11, 1, 0.002, 0.021, 0.454, 1, 0, 1, 0.242, 0.771
Acid12, 0, 0, 0.027, 0.025, 0, 0, 0, 0, 0.013
Acid13, 0, 0, 0.026, 0.025, 0, 0, 0, 0, 0.012
Acid14, 1, 0.001, 0.285, 0.337, 1, 0, 1, 0.424, 0.584
Acid16, 1, 0.001, 0.064, 0.455, 1, 0, 1, 0.005, 1.013
Acid17, 0, 0, 0.242, 0.077, 0, 0, 0, 0, 0.007
Acid18, 0, 0, 0.032, 0.032, 0, 0, 0, 0, 0.015
Acid2, 0, 0, 0.031, 0.026, 0, 0, 0, 0, 0.014
Acid20, 1, 0, 0.025, 0.022, 1, 0, 1, 0.999, 0.012
Acid21, 1, 0.002, 0.05, 0.299, 1, 0, 1, 0.459, 0.553
Acid22, 1, 0, 0.044, 0.106, 1, 0, 1, 0.215, 0.8
Acid23, 1, 0, 0.007, 0.294, 1, 0, 1, 0.424, 0.58
Acid24, 0, 0, 0.07, 0.031, 0, 0, 0, 0, 0.014
Acid25, 0, 0, 0.074, 0.051, 0, 0, 0, 0, 0.014
Acid26, 0, 0, 0.019, 0.02, 0, 0, 0, 0, 0.008
Acid27, 0, 0, 0.018, 0.017, 0, 0, 0, 0, 0.01
Acid28, 0, 0, 0.039, 0.025, 0, 0, 0, 0, 0.013
Acid29, 0, 0, 0.018, 0.015, 0, 0, 0, 0, 0.01
Acid3, 1, 0, 0.45, 0.294, 1, 0, 1, 0.263, 0.75
Acid30, 1, 0, 0.085, 0.099, 1, 0, 1, 0.16, 0.855
Acid31, 0, 0, 0.258, 0.132, 0, 0, 0, 0, 0.01
Acid32, 0, 0, 0.027, 0.022, 0, 0, 0, 0, 0.016
Acid33, 1, 0, 0.023, 0.633, 1, 0, 1, 0.255, 0.759
Acid34, 0, 0, 0.052, 0.031, 0, 0, 0, 0, 0.005
Acid35, 0, 0, 0.475, 0.126, 0, 0, 0, 0, 0.018
Acid36, 1, 0, 0.016, 0.015, 1, 0, 1, 1, 0.014
Acid37, 0, 0, 0.243, 0.068, 0, 0, 0, 0, 0.013
Acid38, 1, 0, 0.014, 0.018, 1, 0, 1, 1, 0.012
Acid39, 1, 0, 0.022, 0.304, 1, 0, 1, 0.452, 0.565
Acid4, 1, 0, 0.09, 0.034, 1, 0, 1, 0.198, 0.813
Acid40, 1, 0, 0.024, 0.021, 1, 0, 1, 1, 0.011
Acid5, 0, 0, 0.362, 0.084, 0, 0, 0, 0, 0.022
Acid6, 1, 0, 0.023, 0.031, 1, 0, 1, 0.01, 0.997
Acid7, 1, 0, 0.057, 0.025, 1, 0, 1, 0.179, 0.83
Acid8, 0, 0, 0.31, 0.083, 0, 0, 0, 0, 0.018
Acid9, 0, 0, 0.308, 0.074, 0, 0, 0, 0, 0.013
Acti10, 1, 0.002, 0.018, 0.06, 1, 0, 1, 0.877, 0.131
Acti11, 1, 0, 0.032, 0.032, 1, 0, 1, 0.999, 0.014
Acti12, 4, 0.952, 0.024, 0.589, 1, 0, 4, 1.427, 1.452
Acti13, 1, 0, 0.096, 0.048, 1, 0, 1, 0.999, 0.017
Acti14, 1, 0, 0.024, 0.039, 1, 0, 1, 0.189, 0.825
Acti15, 1, 0, 0.022, 0.019, 1, 0, 1, 1, 0.014
Acti16, 1, 0, 0.042, 0.263, 1, 0, 1, 0.252, 0.769
Acti18, 0, 0, 0.288, 0.068, 0, 0, 0, 0, 0.015
Acti19, 1, 0, 0.375, 0.118, 1, 0, 1, 1, 0.011
Acti2, 0, 0, 0.086, 0.035, 0, 0, 0, 0, 0.017
Acti20, 0, 0, 0.418, 0.19, 0, 0, 0, 0, 0.034
Acti21, 1, 0, 0.631, 0.171, 1, 0, 1, 1, 0.011
Acti22, 1, 0, 0.032, 0.028, 1, 0, 1, 0.999, 0.014
Acti23, 2, 0.001, 1.023, 0.366, 1, 0, 2, 0.355, 1.658
Acti24, 1, 0, 0.027, 0.025, 1, 0, 1, 0.999, 0.017
Acti25, 1, 0, 0.042, 0.078, 1, 0, 1, 0.859, 0.148
Acti26, 0, 0, 0.212, 0.07, 0, 0, 0, 0, 0.012
Acti27, 0, 0, 0.02, 0.017, 0, 0, 0, 0, 0.011
Acti28, 1, 0.002, 0.756, 0.305, 1, 0, 1, 0.914, 0.096
Acti29, 0, 0, 0.013, 0.015, 0, 0, 0, 0, 0.01
Acti3, 0, 0, 0.898, 0.03, 0, 0, 0, 0, 0.013
Acti30, 0, 0, 0.025, 0.019, 0, 0, 0, 0, 0.014
Acti31, 0, 0, 0.852, 0.033, 0, 0, 0, 0, 0.015
Acti32, 1, 0, 0.019, 0.016, 1, 0, 1, 0.999, 0.013
Acti33, 0, 0, 1.007, 0.013, 0, 0, 0, 0, 0.008
Acti34, 1, 0, 0.057, 0.016, 1, 0, 1, 0.995, 0.014
Acti35, 1, 0, 0.014, 0.015, 1, 0, 1, 0.994, 0.015
Acti36, 1, 0.001, 0.144, 0.388, 1, 0, 1, 0.97, 0.041
Acti37, 1, 0, 1.032, 0.261, 1, 0, 1, 0.988, 0.017
Acti38, 1, 0, 0.021, 0.939, 1, 0, 1, 1, 0.01
Acti39, 0, 0, 0.235, 0.22, 0, 0, 0, 0, 0.02
Acti4, 0, 0, 0.153, 0.081, 0, 0, 0, 0, 0.02
Acti40, 1, 0, 0.022, 0.017, 1, 0, 1, 1, 0.01
Acti41, 1, 0.001, 0.142, 0.468, 1, 0, 1, 0.17, 0.842
Acti42, 1, 0.001, 0.15, 0.128, 1, 0, 1, 0.432, 0.602
Acti43, 1, 0, 0.666, 0.056, 1, 0, 1, 0.449, 0.564
Acti44, 0, 0, 1.069, 0.044, 0, 0, 0, 0, 0.01
Acti45, 1, 0, 0.12, 0.036, 1, 0, 1, 0.914, 0.097
Acti46, 1, 0, 0.197, 0.162, 1, 0, 1, 0.111, 0.898
Acti47, 1, 0, 0.93, 0.046, 1, 0, 1, 0.103, 0.907
Acti48, 1, 0, 1.14, 0.243, 1, 0, 1, 0.997, 0.016
Acti49, 1, 0, 0.015, 0.016, 1, 0, 1, 1, 0.009
Acti5, 0, 0, 0.244, 0.052, 0, 0, 0, 0, 0.014
Acti50, 1, 0, 0.935, 0.344, 1, 0, 1, 0.734, 0.277
Acti51, 0, 0, 0.015, 0.012, 0, 0, 0, 0, 0.006
Acti52, 1, 0, 0.069, 0.039, 1, 0, 1, 0.995, 0.01
Acti6, 0, 0, 0.211, 0.046, 0, 0, 0, 0, 0.012
Acti7, 0, 0, 0.855, 0.022, 0, 0, 0, 0, 0.01
Acti8, 1, 0, 0.022, 0.02, 1, 0, 1, 1, 0.012
Acti9, 0, 0, 0.017, 0.02, 0, 0, 0, 0, 0.014
Aero1, 0, 0, 0.051, 0.041, 0, 0, 0, 0, 0.028
Aqui1, 0, 0, 0.182, 0.013, 0, 0, 0, 0, 0.007
Aqui2, 1, 0, 0.015, 0.039, 1, 0, 1, 0.168, 0.84
Aqui3, 0, 0, 0.033, 0.03, 0, 0, 0, 0, 0.019
Aqui4, 0, 0, 0.011, 0.01, 0, 0, 0, 0, 0.009
Aqui5, 0, 0, 0.057, 0.027, 0, 0, 0, 0, 0.015
Aqui6, 0, 0, 0.011, 0.011, 0, 0, 0, 0, 0.009
Arma11, 1, 0.002, 0.304, 0.223, 1, 0, 1, 0.19, 0.824
Arma12, 1, 0, 0.25, 0.17, 1, 0, 1, 0.382, 0.632
Arma13, 0, 0, 0.012, 0.013, 0, 0, 0, 0, 0.011
Arma14, 0, 0, 0.031, 0.039, 0, 0, 0, 0, 0.019
Arma15, 0, 0, 0.014, 0.017, 0, 0, 0, 0, 0.013
Arma16, 1, 0.001, 0.234, 0.306, 1, 0, 1, 0.397, 0.618
Arma3, 1, 0.002, 0.334, 0.595, 1, 0, 1, 0.128, 0.89
Arma4, 0, 0, 0.025, 0.02, 0, 0, 0, 0, 0.013
Arma6, 1, 0, 0.02, 0.018, 1, 0, 1, 0.997, 0.014
Arma7, 1, 0, 0.445, 0.128, 1, 0, 1, 0.188, 0.827
Arma9, 1, 0, 0.041, 0.031, 1, 0, 1, 0.995, 0.018
Aure1, 1, 0.001, 0.421, 0.585, 1, 0, 1, 0.48, 0.536
Aure2, 1, 0.001, 0.599, 0.35, 1, 0, 1, 0.306, 0.714
Aure3, 0, 0, 1.216, 0.441, 0, 0, 0, 0, 0.038
B130X1, 0, 0.001, 0.642, 0.433, 0, 0, 0, 0, 0.044
BMS3X1, 0, 0, 0.198, 0.131, 0, 0, 0, 0, 0.034
Bact1, 0, 0, 0.021, 0.019, 0, 0, 0, 0, 0.012
Bact10, 0, 0, 0.091, 0.055, 0, 0, 0, 0, 0.017
Bact11, 0, 0, 0.025, 0.027, 0, 0, 0, 0, 0.016
Bact12, 0, 0, 0.021, 0.017, 0, 0, 0, 0, 0.016
Bact13, 0, 0, 0.016, 0.017, 0, 0, 0, 0, 0.011
Bact14, 0, 0, 0.017, 0.021, 0, 0, 0, 0, 0.012
Bact16, 0, 0, 0.022, 0.022, 0, 0, 0, 0, 0.014
Bact17, 0, 0, 0.014, 0.016, 0, 0, 0, 0, 0.011
Bact18, 0, 0, 0.015, 0.011, 0, 0, 0, 0, 0.006
Bact19, 1, 0, 0.401, 0.403, 1, 0, 1, 0.29, 0.719
Bact2, 0, 0, 0.016, 0.02, 0, 0, 0, 0, 0.014
Bact20, 0, 0, 0.015, 0.017, 0, 0, 0, 0, 0.012
Bact21, 1, 0, 0.041, 0.023, 1, 0, 1, 0.998, 0.014
Bact22, 0, 0, 0.019, 0.02, 0, 0, 0, 0, 0.012
Bact23, 1, 0, 0.019, 0.174, 1, 0, 1, 0.198, 0.814
Bact24, 0, 0, 0.02, 0.019, 0, 0, 0, 0, 0.013
Bact25, 0, 0, 0.019, 0.017, 0, 0, 0, 0, 0.006
Bact27, 1, 0, 0.148, 0.106, 1, 0, 1, 0.809, 0.2
Bact28, 0, 0, 0.223, 0.06, 0, 0, 0, 0, 0.018
Bact29, 1, 0, 1.017, 0.12, 1, 0, 1, 0.141, 0.875
Bact3, 0, 0, 0.017, 0.015, 0, 0, 0, 0, 0.012
Bact30, 0, 0, 0.015, 0.015, 0, 0, 0, 0, 0.009
Bact31, 0, 0, 0.018, 0.017, 0, 0, 0, 0, 0.011
Bact32, 0, 0, 0.016, 0.019, 0, 0, 0, 0, 0.01
Bact33, 1, 0, 0.254, 0.134, 1, 0, 1, 0.153, 0.854
Bact34, 0, 0, 0.065, 0.025, 0, 0, 0, 0, 0.015
Bact35, 0, 0, 0.558, 0.087, 0, 0, 0, 0, 0.016
Bact36, 0, 0, 0.173, 0.067, 0, 0, 0, 0, 0.012
Bact37, 1, 0, 0.015, 0.042, 1, 0, 1, 0.232, 0.779
Bact38, 0, 0, 0.017, 0.016, 0, 0, 0, 0, 0.01
Bact39, 1, 0, 0.163, 0.257, 1, 0, 1, 0.245, 0.763
Bact4, 0, 0, 0.032, 0.023, 0, 0, 0, 0, 0.014
Bact40, 1, 0.003, 0.247, 0.751, 1, 0, 1, 0.882, 0.125
Bact41, 1, 0, 0.363, 0.159, 1, 0, 1, 0.765, 0.244
Bact42, 0, 0, 0.247, 0.034, 0, 0, 0, 0, 0.011
Bact43, 1, 0, 0.025, 0.138, 1, 0, 1, 0.146, 0.864
Bact44, 0, 0, 0.461, 0.052, 0, 0, 0, 0, 0.013
Bact5, 0, 0, 0.015, 0.012, 0, 0, 0, 0, 0.007
Bact6, 0, 0, 0.051, 0.028, 0, 0, 0, 0, 0.015
Bact7, 0, 0, 0.024, 0.022, 0, 0, 0, 0, 0.013
Bact8, 0, 0, 0.02, 0.018, 0, 0, 0, 0, 0.009
Bact9, 1, 0, 0.152, 0.03, 1, 0, 1, 0.997, 0.01
Bdell10, 0, 0, 0.024, 0.025, 0, 0, 0, 0, 0.015
Bdell11, 0, 0, 0.025, 0.021, 0, 0, 0, 0, 0.01
Bdell12, 1, 0, 0.259, 0.045, 1, 0, 1, 0.995, 0.022
Bdell13, 0, 0.001, 0.39, 0.075, 0, 0, 0, 0, 0.014
Bdell14, 0, 0, 0.016, 0.015, 0, 0, 0, 0, 0.012
Bdell15, 0, 0, 0.018, 0.018, 0, 0, 0, 0, 0.012
Bdell16, 0, 0, 0.025, 0.024, 0, 0, 0, 0, 0.017
Bdell17, 0, 0, 0.02, 0.017, 0, 0, 0, 0, 0.012
Bdell2, 0, 0, 0.022, 0.022, 0, 0, 0, 0, 0.013
Bdell3, 2, 0.001, 0.017, 0.139, 1, 0, 2, 1.229, 0.779
Bdell4, 0, 0, 0.018, 0.017, 0, 0, 0, 0, 0.014
Bdell5, 0, 0, 0.021, 0.021, 0, 0, 0, 0, 0.014
Bdell6, 0, 0, 0.041, 0.035, 0, 0, 0, 0, 0.012
Bdell7, 0, 0, 0.016, 0.013, 0, 0, 0, 0, 0.009
Bdell9, 0, 0, 0.019, 0.02, 0, 0, 0, 0, 0.013
BdellC1, 0, 0, 0.04, 0.037, 0, 0, 0, 0, 0.022
BdellC2, 0, 0, 0.028, 0.021, 0, 0, 0, 0, 0.01
Bipo1, 0, 0, 0.323, 0.08, 0, 0, 0, 0, 0.024
Bipo2, 1, 0.001, 0.036, 0.239, 1, 0, 1, 0.277, 0.736
CG267X1, 0, 0, 0.022, 0.019, 0, 0, 0, 0, 0.01
CG294X1, 0, 0, 0.018, 0.009, 0, 0, 0, 0, 0.006
CSP1X1, 0, 0, 0.272, 0.134, 0, 0, 0, 0, 0.028
Calda1, 0, 0, 0.043, 0.048, 0, 0, 0, 0, 0.021
Calda2, 0, 0, 0.047, 0.045, 0, 0, 0, 0, 0.025
Caldit1, 0, 0, 0.016, 0.018, 0, 0, 0, 0, 0.01
Caldit2, 0, 0, 0.02, 0.023, 0, 0, 0, 0, 0.014
Caldit3, 0, 0, 0.027, 0.024, 0, 0, 0, 0, 0.018
Camp1, 0, 0, 0.025, 0.025, 0, 0, 0, 0, 0.009
Camp10, 0, 0.001, 0.307, 0.072, 0, 0, 0, 0, 0.005
Camp11, 1, 0, 0.187, 0.086, 1, 0, 1, 0.237, 0.776
Camp12, 0, 0, 0.242, 0.102, 0, 0, 0, 0, 0.013
Camp13, 0, 0, 0.088, 0.053, 0, 0, 0, 0, 0.01
Camp14, 1, 0, 0.02, 0.201, 1, 0, 1, 0.828, 0.183
Camp15, 0, 0, 0.843, 0.158, 0, 0, 0, 0, 0.006
Camp16, 1, 0, 0.017, 0.02, 1, 0, 1, 0.999, 0.009
Camp2, 0, 0, 0.089, 0.053, 0, 0, 0, 0, 0.011
Camp3, 0, 0, 0.031, 0.03, 0, 0, 0, 0, 0.015
Camp4, 1, 0, 0.012, 0.008, 1, 0, 1, 1, 0.004
Camp5, 1, 0, 0.022, 0.102, 1, 0, 1, 0.289, 0.721
Camp6, 0, 0, 0.027, 0.022, 0, 0, 0, 0, 0.014
Camp7, 0, 0, 0.804, 0.164, 0, 0, 0, 0, 0.016
Camp9, 0, 0, 0.025, 0.024, 0, 0, 0, 0, 0.012
Chlo10, 0, 0, 0.37, 0.094, 0, 0, 0, 0, 0.011
Chlo11, 0, 0, 0.032, 0.03, 0, 0, 0, 0, 0.016
Chlo12, 1, 0, 0.021, 0.03, 1, 0, 1, 0.995, 0.023
Chlo13, 0, 0, 0.271, 0.083, 0, 0, 0, 0, 0.01
Chlo14, 0, 0, 0.08, 0.036, 0, 0, 0, 0, 0.009
Chlo15, 1, 0, 0.043, 0.074, 1, 0, 1, 0.221, 0.788
Chlo16, 1, 0.003, 0.027, 0.401, 1, 0, 1, 0.344, 0.669
Chlo17, 1, 0, 0.759, 0.341, 1, 0, 1, 0.236, 0.775
Chlo18, 0, 0, 0.047, 0.035, 0, 0, 0, 0, 0.008
Chlo19, 0, 0, 0.099, 0.087, 0, 0, 0, 0, 0.006
Chlo20, 0, 0, 0.266, 0.079, 0, 0, 0, 0, 0.015
Chlo21, 0, 0, 0.021, 0.021, 0, 0, 0, 0, 0.017
Chlo22, 0, 0, 0.856, 0.117, 0, 0, 0, 0, 0.017
Chlo23, 0, 0, 0.185, 0.106, 0, 0, 0, 0, 0.012
Chlo24, 0, 0, 1.009, 0.015, 0, 0, 0, 0, 0.011
Chlo25, 0, 0, 0.111, 0.094, 0, 0, 0, 0, 0.01
Chlo26, 0, 0, 0.032, 0.031, 0, 0, 0, 0, 0.016
Chlo27, 1, 0, 0.039, 0.033, 1, 0, 1, 1, 0.013
Chlo28, 0, 0, 0.087, 0.056, 0, 0, 0, 0, 0.011
Chlo29, 1, 0, 0.685, 0.238, 1, 0, 1, 0.143, 0.872
Chlo30, 1, 0.001, 0.028, 0.633, 1, 0, 1, 0.997, 0.015
Chlo31, 0, 0, 0.114, 0.097, 0, 0, 0, 0, 0.013
Chlo32, 1, 0, 0.146, 0.071, 1, 0, 1, 0.747, 0.268
Chlo33, 0, 0, 0.163, 0.119, 0, 0, 0, 0, 0.011
Chlo34, 0, 0, 0.032, 0.03, 0, 0, 0, 0, 0.022
Chlo35, 0, 0, 0.016, 0.016, 0, 0, 0, 0, 0.012
Chlo36, 1, 0, 0.014, 0.014, 1, 0, 1, 0.999, 0.009
Chlo37, 1, 0.002, 0.026, 0.618, 1, 0, 1, 0.996, 0.012
Chlo38, 0, 0, 0.107, 0.085, 0, 0, 0, 0, 0.014
Chlo39, 0, 0, 0.028, 0.022, 0, 0, 0, 0, 0.016
Chlo4, 1, 0.001, 0.026, 0.031, 1, 0, 1, 0.991, 0.024
Chlo40, 1, 0, 0.014, 0.016, 1, 0, 1, 0.999, 0.009
Chlo41, 0, 0, 0.023, 0.021, 0, 0, 0, 0, 0.011
Chlo42, 0, 0, 0.017, 0.016, 0, 0, 0, 0, 0.007
Chlo43, 0, 0, 0.058, 0.037, 0, 0, 0, 0, 0.013
Chlo44, 1, 0.001, 0.257, 0.169, 1, 0, 1, 0.74, 0.272
Chlo45, 1, 0, 0.147, 0.017, 1, 0, 1, 0.997, 0.011
Chlo46, 1, 0, 1.017, 0.021, 1, 0, 1, 0.131, 0.881
Chlo47, 0, 0, 0.279, 0.075, 0, 0, 0, 0, 0.014
Chlo48, 1, 0, 0.021, 0.118, 1, 0, 1, 0.352, 0.662
Chlo5, 0, 0, 0.368, 0.139, 0, 0, 0, 0, 0.013
Chlo6, 0, 0, 0.05, 0.049, 0, 0, 0, 0, 0.011
Chlo7, 0, 0, 0.275, 0.064, 0, 0, 0, 0, 0.02
Chlo8, 1, 0.001, 0.029, 0.149, 1, 0, 1, 0.901, 0.11
Chlo9, 0, 0, 0.054, 0.038, 0, 0, 0, 0, 0.015
Chry1, 1, 0, 0.077, 1.006, 1, 0, 1, 0.616, 0.411
Cloa1, 0, 0, 0.042, 0.048, 0, 0, 0, 0, 0.021
Cyan1, 0, 0, 0.037, 0.036, 0, 0, 0, 0, 0.014
Cyan10, 1, 0.001, 0.152, 0.287, 1, 0, 1, 0.958, 0.058
Cyan11, 1, 0, 0.054, 0.035, 1, 0, 1, 0.877, 0.136
Cyan12, 0, 0, 0.022, 0.02, 0, 0, 0, 0, 0.01
Cyan13, 0, 0, 0.01, 0.013, 0, 0, 0, 0, 0.006
Cyan14, 2, 0.001, 1.262, 0.718, 1, 0, 2, 1.987, 0.023
Cyan15, 2, 0, 2.013, 0.701, 1, 0, 2, 1.238, 0.775
Cyan16, 1, 0, 2.002, 0.047, 1, 0, 1, 0.96, 0.05
Cyan18, 0, 0, 0.019, 0.019, 0, 0, 0, 0, 0.015
Cyan19, 1, 0, 0.243, 0.065, 1, 0, 1, 0.797, 0.215
Cyan2, 0, 0, 0.04, 0.035, 0, 0, 0, 0, 0.017
Cyan20, 1, 0, 0.198, 0.103, 1, 0, 1, 0.964, 0.058
Cyan21, 2, 0, 0.019, 0.063, 1, 0, 2, 1.16, 0.853
Cyan22, 2, 0, 0.045, 0.089, 1, 0, 2, 1.908, 0.106
Cyan23, 1, 0, 1.27, 0.109, 1, 0, 1, 0.99, 0.02
Cyan24, 1, 0, 0.862, 0.319, 1, 0, 1, 0.316, 0.691
Cyan25, 1, 0, 0.779, 0.048, 1, 0, 1, 0.427, 0.581
Cyan26, 1, 0, 0.892, 0.103, 1, 0, 1, 0.037, 0.974
Cyan27, 1, 0, 0.02, 0.013, 1, 0, 1, 0.875, 0.131
Cyan28, 1, 0, 0.028, 0.033, 1, 0, 1, 0.032, 0.977
Cyan29, 2, 0, 0.974, 0.027, 1, 0, 2, 1.988, 0.022
Cyan3, 2, 0.191, 0.982, 0.709, 1, 0, 2, 0.728, 1.049
Cyan30, 1, 0, 0.313, 0.05, 1, 0, 1, 0.002, 1.006
Cyan31, 1, 0.002, 0.8, 0.761, 1, 0, 1, 0.391, 0.621
Cyan32, 1, 0.001, 1.018, 0.495, 1, 0, 1, 0.233, 0.781
Cyan33, 1, 0, 0.173, 0.017, 1, 0, 1, 1, 0.007
Cyan34, 1, 0, 0.206, 0.658, 1, 0, 1, 0.981, 0.029
Cyan35, 1, 0.003, 0.313, 0.69, 1, 0, 1, 0.772, 0.235
Cyan36, 1, 0, 0.71, 0.42, 1, 0, 1, 0.79, 0.218
Cyan37, 1, 0, 0.348, 0.27, 1, 0, 1, 0.206, 0.815
Cyan38, 1, 0.001, 0.082, 0.165, 1, 0, 1, 0.053, 0.965
Cyan4, 0, 0, 0.021, 0.023, 0, 0, 0, 0, 0.016
Cyan40, 1, 0, 0.89, 0.017, 1, 0, 1, 0.01, 1.001
Cyan41, 1, 0, 0.077, 0.031, 1, 0, 1, 1, 0.007
Cyan42, 1, 0, 0.787, 0.156, 1, 0, 1, 0.963, 0.045
Cyan43, 1, 0, 0.027, 0.031, 1, 0, 1, 0.999, 0.016
Cyan44, 1, 0, 0.014, 0.012, 1, 0, 1, 1, 0.006
Cyan45, 1, 0.002, 0.977, 0.423, 1, 0, 1, 0.13, 0.882
Cyan46, 1, 0.002, 0.251, 0.385, 1, 0, 1, 0.996, 0.013
Cyan47, 1, 0, 0.017, 0.013, 1, 0, 1, 0.999, 0.009
Cyan7, 0, 0, 0.022, 0.017, 0, 0, 0, 0, 0.01
Cyan8, 0, 0, 0.017, 0.012, 0, 0, 0, 0, 0.011
Cyan9, 0, 0, 0.017, 0.015, 0, 0, 0, 0, 0.012
DTU0X1, 0, 0, 0.03, 0.034, 0, 0, 0, 0, 0.025
Defe1, 0, 0, 0.568, 0.365, 0, 0, 0, 0, 0.009
Defe2, 0, 0, 0.618, 0.282, 0, 0, 0, 0, 0.014
Defe3, 1, 0.001, 0.022, 0.456, 1, 0, 1, 0.595, 0.417
Dein1, 0, 0, 0.955, 0.079, 0, 0, 0, 0, 0.012
Dein2, 1, 0, 0.048, 0.035, 1, 0, 1, 1, 0.01
Dein3, 0, 0, 0.949, 0.039, 0, 0, 0, 0, 0.007
Dein4, 1, 0, 0.013, 0.011, 1, 0, 1, 1, 0.004
Dein5, 1, 0, 0.025, 0.087, 1, 0, 1, 0.927, 0.082
Dein6, 1, 0, 0.02, 0.019, 1, 0, 1, 0.999, 0.011
Dein7, 1, 0.001, 0.024, 0.073, 1, 0, 1, 0.931, 0.081
Desa1, 0, 0, 0.103, 0.092, 0, 0, 0, 0, 0.039
DesuB1, 2, 0.001, 0.036, 0.142, 1, 0, 2, 1.203, 0.81
DesuB2, 1, 0, 0.243, 0.077, 1, 0, 1, 1, 0.018
DesuB3, 1, 0, 0.02, 0.02, 1, 0, 1, 0.999, 0.01
DesuB4, 1, 0, 0.029, 0.028, 1, 0, 1, 0.999, 0.019
DesuC1, 0, 0, 1.008, 0.022, 0, 0, 0, 0, 0.016
DesuC2, 1, 0, 0.017, 0.022, 1, 0, 1, 0.983, 0.025
DesuD1, 1, 0, 0.052, 0.03, 1, 0, 1, 0.999, 0.009
DesuD2, 1, 0, 0.057, 0.04, 1, 0, 1, 0.999, 0.014
Desua1, 0, 0, 0.02, 0.021, 0, 0, 0, 0, 0.016
Desua10, 0, 0, 0.042, 0.022, 0, 0, 0, 0, 0.011
Desua11, 0, 0, 0.021, 0.019, 0, 0, 0, 0, 0.014
Desua12, 0, 0, 0.011, 0.011, 0, 0, 0, 0, 0.007
Desua13, 0, 0, 0.022, 0.022, 0, 0, 0, 0, 0.014
