species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
AABM5X2, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
AABM5X3, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Abys1, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid1, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acid10, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acid11, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acid13, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid14, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid16, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acid17, 0, 0, 0.002, 0.004, 0, 0, 0, 0, 0.002
Acid18, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid2, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acid20, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid21, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.003
Acid22, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid23, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid24, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid25, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid26, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid27, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid29, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid3, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid31, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acid32, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid33, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid34, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acid35, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acid36, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid37, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid38, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid39, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid4, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acid5, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
Acid6, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid7, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0
Acid8, 0, 0, 0.006, 0.005, 0, 0, 0, 0, 0.005
Acid9, 0, 0, 0.003, 0.006, 0, 0, 0, 0, 0.003
Acti10, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti11, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti12, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti13, 0, 0, 0.007, 0.006, 0, 0, 0, 0, 0.002
Acti14, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.003
Acti15, 0, 0, 0.72, 0.004, 0, 0, 0, 0, 0.001
Acti16, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti18, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti19, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acti2, 0, 0, 0.005, 0.007, 0, 0, 0, 0, 0.003
Acti20, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti22, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acti23, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acti25, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti26, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acti27, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti28, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acti29, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acti3, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acti31, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acti32, 0, 0, 0.009, 0.006, 0, 0, 0, 0, 0
Acti33, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acti34, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti35, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acti36, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti37, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acti38, 1, 0, 0.002, 0.113, 1, 0, 1, 0.791, 0.21
Acti39, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acti4, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti40, 1, 0, 0.001, 0.089, 1, 0, 1, 0.718, 0.283
Acti41, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acti42, 0, 0, 0.006, 0.003, 0, 0, 0, 0, 0.002
Acti43, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acti44, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Acti45, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Acti46, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti47, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0
Acti48, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acti49, 0, 0, 0.011, 0.006, 0, 0, 0, 0, 0.002
Acti5, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acti50, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Acti51, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti52, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.002
Acti6, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Acti7, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
Acti8, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti9, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Aero1, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Aqui2, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Aqui3, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Aqui4, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Aqui5, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Aqui6, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Arma11, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Arma12, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Arma13, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Arma14, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Arma16, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.002
Arma3, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Arma4, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Arma6, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
Arma7, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Arma9, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Aure1, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.002
Aure2, 0, 0, 0.005, 0.009, 0, 0, 0, 0, 0.003
Aure3, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.003
B130X1, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
BMS3X1, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Bact1, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.001
Bact10, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Bact11, 0, 0, 0.006, 0.005, 0, 0, 0, 0, 0.004
Bact12, 0, 0, 0.003, 0.006, 0, 0, 0, 0, 0.002
Bact13, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Bact14, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Bact16, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact17, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Bact18, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.002
Bact19, 0, 0, 0.057, 0.012, 0, 0, 0, 0, 0.002
Bact2, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact20, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Bact21, 0, 0, 0.13, 0.021, 0, 0, 0, 0, 0
Bact22, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact23, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact24, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Bact25, 0, 0, 0.003, 0.005, 0, 0, 0, 0, 0.003
Bact27, 1, 0, 0.015, 0.683, 1, 0, 1, 0.966, 0.035
Bact28, 0, 0, 0.001, 0.003, 0, 0, 0, 0, 0.001
Bact29, 1, 0, 0.001, 0.001, 1, 0, 1, 0.998, 0.003
Bact3, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
Bact30, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact31, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Bact32, 0, 0, 0.004, 0.006, 0, 0, 0, 0, 0.004
Bact33, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Bact35, 0, 0, 0.237, 0.061, 0, 0, 0, 0, 0
Bact38, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact39, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Bact4, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Bact40, 1, 0, 0.008, 0.038, 1, 0, 1, 0.993, 0.007
Bact41, 1, 0, 0.009, 0.007, 1, 0, 1, 0.995, 0.008
Bact42, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Bact43, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact44, 0, 0, 0.004, 0.002, 0, 0, 0, 0, 0.001
Bact5, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact6, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.002
Bact7, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Bact8, 0, 0, 0.005, 0.007, 0, 0, 0, 0, 0.004
Bact9, 1, 0, 0, 0.001, 1, 0, 1, 0.998, 0.002
Bdell10, 0, 0, 0.007, 0.004, 0, 0, 0, 0, 0.004
Bdell11, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bdell12, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
