species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0
AABM5X2, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
AABM5X3, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Abys1, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid1, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid10, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid11, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid12, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid14, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid16, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid17, 0, 0, 0.005, 0.005, 0, 0, 0, 0, 0.005
Acid18, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acid2, 0, 0, 0.002, 0.004, 0, 0, 0, 0, 0.002
Acid20, 0, 0, 0.004, 0.006, 0, 0, 0, 0, 0.004
Acid22, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.005
Acid23, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.002
Acid24, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid25, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid26, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid27, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.003
Acid28, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acid29, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Acid30, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acid31, 0, 0, 0.001, 0.002, 0, 0, 0, 0, 0.001
Acid32, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acid33, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid34, 0, 0, 0.003, 0.001, 0, 0, 0, 0, 0.001
Acid35, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid36, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Acid37, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acid38, 0, 0, 0.003, 0.005, 0, 0, 0, 0, 0.002
Acid39, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid4, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid40, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acid5, 0, 0, 0.003, 0.005, 0, 0, 0, 0, 0.003
Acid6, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.002
Acid8, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.004
Acid9, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.002
Acti10, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.003
Acti11, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.003
Acti12, 0, 0, 0.004, 0.008, 0, 0, 0, 0, 0.004
Acti13, 0, 0, 0.002, 0.003, 0, 0, 0, 0, 0.002
Acti14, 0, 0, 0.001, 0, 0, 0, 0, 0, 0
Acti15, 0, 0, 0.893, 0.003, 0, 0, 0, 0, 0.003
Acti16, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0
Acti18, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.001
Acti19, 0, 0, 0.004, 0.006, 0, 0, 0, 0, 0.004
Acti2, 0, 0, 0.008, 0.008, 0, 0, 0, 0, 0.007
Acti20, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti21, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Acti22, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
