species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 1, 0.001, 0.08, 0.162, 1, 0, 1, 0.212, 0.829
AABM5X2, 0, 0, 0.28, 0.093, 0, 0, 0, 0, 0.03
AABM5X3, 1, 0.005, 0.087, 0.548, 1, 0, 1, 0.154, 0.879
Abys1, 1, 0.004, 0.65, 0.213, 1, 0, 1, 0.982, 0.052
Acid1, 1, 0.002, 0.31, 0.429, 1, 0, 1, 0.109, 0.925
Acid10, 0, 0, 0.113, 0.053, 0, 0, 0, 0, 0.038
Acid11, 1, 0.002, 0.048, 0.221, 1, 0, 1, 0.872, 0.158
Acid12, 2, 0.008, 1.051, 0.372, 1, 0, 2, 0.848, 1.179
Acid13, 1, 0, 0.9, 0.318, 1, 0, 1, 0.995, 0.036
Acid14, 0, 0, 0.052, 0.048, 0, 0, 0, 0, 0.036
Acid16, 0, 0, 0.936, 0.213, 0, 0, 0, 0, 0.028
Acid17, 1, 0.004, 0.156, 0.235, 1, 0, 1, 0.259, 0.769
Acid18, 0, 0.001, 0.138, 0.095, 0, 0, 0, 0, 0.04
Acid2, 0, 0, 0.14, 0.108, 0, 0, 0, 0, 0.043
Acid20, 0, 0.001, 0.313, 0.155, 0, 0, 0, 0, 0.021
Acid21, 2, 0.008, 0.127, 0.716, 1, 0, 2, 0.754, 1.272
Acid22, 0, 0, 0.385, 0.076, 0, 0, 0, 0, 0.047
Acid23, 1, 0.001, 0.647, 0.236, 1, 0, 1, 0.995, 0.036
Acid24, 0, 0, 0.37, 0.048, 0, 0, 0, 0, 0.028
Acid25, 2, 0.001, 1, 0.398, 1, 0, 2, 1.168, 0.86
Acid26, 3, 0.007, 0.089, 0.809, 1, 0, 3, 1.393, 1.632
Acid27, 0, 0, 0.996, 0.094, 0, 0, 0, 0, 0.026
Acid28, 0, 0, 0.037, 0.038, 0, 0, 0, 0, 0.025
Acid29, 1, 0, 0.056, 0.114, 1, 0, 1, 0.947, 0.086
Acid3, 0, 0, 0.053, 0.063, 0, 0, 0, 0, 0.037
Acid30, 0, 0, 0.131, 0.081, 0, 0, 0, 0, 0.019
Acid31, 0, 0.001, 0.921, 0.205, 0, 0, 0, 0, 0.032
Acid32, 0, 0, 1.48, 0.32, 0, 0, 0, 0, 0.03
Acid33, 0, 0, 0.464, 0.038, 0, 0, 0, 0, 0.019
Acid34, 1, 0.002, 0.056, 0.15, 1, 0, 1, 0.959, 0.072
Acid35, 1, 0, 0.112, 0.107, 1, 0, 1, 1, 0.04
Acid36, 1, 0, 1.027, 0.075, 1, 0, 1, 0.987, 0.054
Acid37, 0, 0, 0.144, 0.093, 0, 0, 0, 0, 0.032
Acid38, 2, 0.002, 0.064, 0.172, 1, 0, 2, 1.94, 0.089
Acid39, 1, 0, 0.109, 0.073, 1, 0, 1, 0.999, 0.037
Acid4, 0, 0, 0.244, 0.051, 0, 0, 0, 0, 0.031
Acid40, 1, 0.007, 0.057, 0.284, 1, 0, 1, 0.273, 0.759
Acid5, 0, 0.001, 1.564, 0.247, 0, 0, 0, 0, 0.046
Acid6, 0, 0, 0.039, 0.048, 0, 0, 0, 0, 0.027
Acid7, 3, 2, 0.105, 0.068, 1, 0, 3, 0.001, 0.078
Acid8, 1, 0.003, 1.055, 0.461, 1, 0, 1, 0.564, 0.478
Acid9, 2, 0.011, 0.881, 0.924, 1, 0, 2, 0.154, 1.881
Acti10, 1, 0.004, 0.064, 0.246, 1, 0, 1, 0.281, 0.749
Acti11, 0, 0, 0.044, 0.046, 0, 0, 0, 0, 0.032
Acti12, 1, 0.003, 0.044, 0.37, 1, 0, 1, 0.986, 0.032
Acti13, 1, 0.002, 0.068, 0.17, 1, 0, 1, 0.671, 0.364
Acti14, 0, 0, 0.07, 0.064, 0, 0, 0, 0, 0.041
Acti15, 1, 0, 0.045, 0.041, 1, 0, 1, 1, 0.025
Acti16, 1, 0, 0.041, 0.046, 1, 0, 1, 0.997, 0.03
Acti18, 1, 0.001, 0.048, 0.05, 1, 0, 1, 0.997, 0.036
Acti19, 0, 0, 0.055, 0.051, 0, 0, 0, 0, 0.032
Acti2, 1, 0.004, 0.685, 0.384, 1, 0, 1, 0.967, 0.082
Acti20, 1, 0.015, 0.986, 1.612, 1, 0, 1, 0.049, 1
Acti21, 0, 0, 1.037, 0.365, 0, 0, 0, 0, 0.028
Acti22, 0, 0.001, 0.045, 0.049, 0, 0, 0, 0, 0.032
Acti23, 0, 0, 0.048, 0.041, 0, 0, 0, 0, 0.025
Acti24, 1, 0, 0.308, 0.077, 1, 0, 1, 0.999, 0.034
Acti25, 0, 0, 0.171, 0.095, 0, 0, 0, 0, 0.038
Acti26, 0, 0, 0.112, 0.066, 0, 0, 0, 0, 0.032
Acti27, 1, 0, 0.289, 0.188, 1, 0, 1, 0.998, 0.029
Acti28, 0, 0, 0.037, 0.03, 0, 0, 0, 0, 0.025
Acti29, 0, 0, 0.325, 0.091, 0, 0, 0, 0, 0.032
Acti3, 0, 0, 0.352, 0.144, 0, 0, 0, 0, 0.041
