species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.009, 0.008, 0, 0, 0, 0, 0.004
AABM5X2, 0, 0, 0.008, 0.008, 0, 0, 0, 0, 0.003
AABM5X3, 0, 0, 0.01, 0.013, 0, 0, 0, 0, 0.006
Abys1, 1, 0.002, 0.01, 0.29, 1, 0, 1, 0.234, 0.77
Acid1, 1, 0, 0.029, 0.031, 1, 0, 1, 0.166, 0.837
Acid10, 1, 0.005, 0.894, 0.472, 1, 0, 1, 0.681, 0.323
Acid11, 0, 0, 0.008, 0.005, 0, 0, 0, 0, 0
Acid12, 0, 0, 0.03, 0.023, 0, 0, 0, 0, 0.003
Acid13, 0, 0, 0.031, 0.017, 0, 0, 0, 0, 0.004
Acid14, 0, 0, 0.198, 0.019, 0, 0, 0, 0, 0.006
Acid16, 1, 0, 0.022, 0.072, 1, 0, 1, 0.182, 0.824
Acid17, 0, 0, 0.197, 0.018, 0, 0, 0, 0, 0.005
Acid18, 0, 0, 0.014, 0.009, 0, 0, 0, 0, 0.003
Acid2, 0, 0, 0.013, 0.013, 0, 0, 0, 0, 0.002
Acid20, 1, 0, 0.013, 0.01, 1, 0, 1, 1, 0.005
Acid21, 1, 0.001, 0.183, 0.074, 1, 0, 1, 0.993, 0.009
Acid22, 1, 0.003, 0.875, 0.668, 1, 0, 1, 0.794, 0.207
Acid23, 1, 0.005, 0.023, 0.429, 1, 0, 1, 0.239, 0.765
Acid24, 1, 0.012, 0.173, 0.987, 1, 0, 1, 0.937, 0.058
Acid25, 0, 0.001, 0.056, 0.056, 0, 0, 0, 0, 0.003
Acid26, 0, 0, 0.008, 0.01, 0, 0, 0, 0, 0.004
Acid27, 0, 0, 0.018, 0.012, 0, 0, 0, 0, 0.005
Acid28, 0, 0.001, 0.281, 0.049, 0, 0, 0, 0, 0.001
Acid29, 0, 0, 0.014, 0.012, 0, 0, 0, 0, 0.001
Acid3, 1, 0, 0.016, 0.012, 1, 0, 1, 0.179, 0.824
Acid30, 1, 0.007, 1.01, 0.436, 1, 0, 1, 0.342, 0.661
Acid31, 0, 0, 0.011, 0.006, 0, 0, 0, 0, 0.003
Acid32, 0, 0, 0.008, 0.006, 0, 0, 0, 0, 0.004
Acid33, 1, 0, 0.076, 0.016, 1, 0, 1, 0.992, 0.011
Acid34, 1, 0, 0.01, 0.041, 1, 0, 1, 0.991, 0.012
Acid35, 1, 0.002, 0.007, 0.307, 1, 0, 1, 0.25, 0.753
Acid36, 1, 0, 0.926, 0.011, 1, 0, 1, 0.895, 0.11
Acid37, 1, 0, 0.348, 0.065, 1, 0, 1, 0.996, 0.006
Acid38, 1, 0, 0.9, 0.008, 1, 0, 1, 0.92, 0.084
Acid39, 0, 0, 0.254, 0.047, 0, 0, 0, 0, 0.002
Acid4, 1, 0, 0.769, 0.287, 1, 0, 1, 0.339, 0.664
Acid40, 1, 0, 0.011, 0.007, 1, 0, 1, 1, 0.003
Acid5, 0, 0, 0.19, 0.055, 0, 0, 0, 0, 0.006
Acid6, 1, 0, 0.003, 0.058, 1, 0, 1, 0.276, 0.724
Acid7, 1, 0, 0.036, 0.015, 1, 0, 1, 0.999, 0.005
Acid8, 0, 0, 0.031, 0.013, 0, 0, 0, 0, 0.007
Acid9, 0, 0, 0.049, 0.011, 0, 0, 0, 0, 0.002
Acti10, 1, 0, 0.006, 0.003, 1, 0, 1, 0.999, 0.003
Acti11, 1, 0, 0.855, 0.052, 1, 0, 1, 0.963, 0.041
Acti12, 1, 0, 0.011, 0.008, 1, 0, 1, 0.999, 0.007
Acti13, 1, 0, 0.046, 0.022, 1, 0, 1, 0.992, 0.013
Acti14, 1, 0, 0.014, 0.009, 1, 0, 1, 1, 0.004
Acti15, 1, 0, 0.012, 0.005, 1, 0, 1, 1, 0.004
Acti16, 1, 0, 0.007, 0.006, 1, 0, 1, 1, 0.001
Acti18, 1, 0, 0.01, 0.006, 1, 0, 1, 1, 0.004
Acti19, 1, 0, 0.007, 0.007, 1, 0, 1, 1, 0.003
Acti2, 1, 0, 0.041, 0.016, 1, 0, 1, 0.384, 0.617
Acti20, 0, 0.001, 0.236, 0.085, 0, 0, 0, 0, 0.011
Acti21, 1, 0, 0.007, 0.004, 1, 0, 1, 0.999, 0.003
Acti22, 1, 0, 0.929, 0.011, 1, 0, 1, 0.888, 0.115
Acti23, 1, 0, 0.009, 0.007, 1, 0, 1, 1, 0.005
Acti24, 0, 0, 0.006, 0.007, 0, 0, 0, 0, 0.003
Acti25, 1, 0, 0.017, 0.011, 1, 0, 1, 1, 0.004
Acti26, 1, 0.004, 1.124, 0.274, 1, 0, 1, 0.222, 0.783
Acti27, 0, 0, 0.006, 0.004, 0, 0, 0, 0, 0.002
Acti28, 1, 0, 0.027, 0.016, 1, 0, 1, 0.906, 0.095
Acti29, 1, 0, 0.007, 0.009, 1, 0, 1, 0.991, 0.013
Acti3, 1, 0, 0.006, 0.004, 1, 0, 1, 1, 0.003
Acti30, 1, 0.001, 0.021, 0.174, 1, 0, 1, 0.988, 0.014
Acti31, 0, 0, 1.005, 0.002, 0, 0, 0, 0, 0.001
Acti32, 1, 0, 0.274, 0.002, 1, 0, 1, 0.983, 0.019
Acti33, 1, 0, 0.003, 0.004, 1, 0, 1, 1, 0
Acti34, 1, 0, 0.054, 0.002, 1, 0, 1, 0.998, 0.004
Acti35, 1, 0, 0.003, 0, 1, 0, 1, 1, 0
Acti36, 1, 0, 0.002, 0.002, 1, 0, 1, 0.996, 0.005
Acti37, 1, 0, 0.008, 0.039, 1, 0, 1, 0.792, 0.211
Acti38, 1, 0, 0.292, 0.04, 1, 0, 1, 0.963, 0.041
Acti39, 1, 0.001, 0.429, 0.424, 1, 0, 1, 0.024, 0.984
Acti4, 1, 0, 0.862, 0.011, 1, 0, 1, 0.743, 0.263
Acti40, 1, 0, 0.013, 0.008, 1, 0, 1, 1, 0.003
Acti41, 1, 0, 0.961, 0.011, 1, 0, 1, 0.777, 0.226
Acti42, 1, 0.001, 0.298, 0.236, 1, 0, 1, 0.358, 0.649
Acti43, 0, 0, 1.001, 0.005, 0, 0, 0, 0, 0.004
Acti44, 0, 0, 0.018, 0.016, 0, 0, 0, 0, 0.003
Acti45, 1, 0, 0.006, 0.001, 1, 0, 1, 1, 0.001
Acti46, 1, 0.001, 0.774, 0.019, 1, 0, 1, 0.965, 0.038
Acti47, 1, 0, 0.007, 0.004, 1, 0, 1, 1, 0.002
Acti48, 0, 0, 0.289, 0.031, 0, 0, 0, 0, 0.003
Acti49, 1, 0, 0.285, 0.048, 1, 0, 1, 0.972, 0.03
Acti5, 0, 0, 0.011, 0.008, 0, 0, 0, 0, 0.005
