species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.014, 0.019, 0, 0, 0, 0, 0.012
AABM5X2, 0, 0, 0.01, 0.01, 0, 0, 0, 0, 0.008
AABM5X3, 0, 0, 0.014, 0.011, 0, 0, 0, 0, 0.005
Abys1, 0, 0, 0.027, 0.018, 0, 0, 0, 0, 0.005
Acid1, 0, 0, 0.009, 0.009, 0, 0, 0, 0, 0.003
Acid10, 0, 0, 0.014, 0.016, 0, 0, 0, 0, 0.011
Acid11, 1, 0.002, 0.015, 0.401, 1, 0, 1, 0.223, 0.787
Acid12, 1, 0.003, 0.021, 0.327, 1, 0, 1, 0.231, 0.78
Acid13, 0, 0, 0.245, 0.085, 0, 0, 0, 0, 0.007
Acid14, 0, 0, 0.026, 0.025, 0, 0, 0, 0, 0.009
Acid16, 0, 0, 0.054, 0.029, 0, 0, 0, 0, 0.008
Acid17, 0, 0, 0.017, 0.022, 0, 0, 0, 0, 0.011
Acid18, 0, 0, 0.019, 0.021, 0, 0, 0, 0, 0.014
Acid2, 0, 0, 0.017, 0.018, 0, 0, 0, 0, 0.012
Acid20, 0, 0, 0.013, 0.015, 0, 0, 0, 0, 0.007
Acid21, 0, 0, 0.017, 0.018, 0, 0, 0, 0, 0.014
Acid22, 0, 0, 0.011, 0.013, 0, 0, 0, 0, 0.007
Acid23, 0, 0, 0.057, 0.029, 0, 0, 0, 0, 0.005
Acid24, 0, 0, 0.008, 0.012, 0, 0, 0, 0, 0.007
Acid25, 0, 0, 0.014, 0.013, 0, 0, 0, 0, 0.009
Acid26, 0, 0, 0.014, 0.013, 0, 0, 0, 0, 0.009
Acid27, 0, 0, 0.015, 0.012, 0, 0, 0, 0, 0.005
Acid28, 1, 0.004, 0.018, 0.495, 1, 0, 1, 0.295, 0.716
Acid29, 0, 0, 0.018, 0.018, 0, 0, 0, 0, 0.008
Acid3, 0, 0, 0.028, 0.024, 0, 0, 0, 0, 0.011
Acid30, 0, 0, 0.015, 0.013, 0, 0, 0, 0, 0.01
Acid31, 0, 0.001, 0.234, 0.07, 0, 0, 0, 0, 0.007
Acid32, 0, 0, 0.012, 0.011, 0, 0, 0, 0, 0.007
Acid33, 0, 0, 0.017, 0.016, 0, 0, 0, 0, 0.012
Acid34, 0, 0, 0.011, 0.007, 0, 0, 0, 0, 0.004
Acid35, 0, 0, 0.037, 0.032, 0, 0, 0, 0, 0.009
Acid36, 0, 0, 0.008, 0.009, 0, 0, 0, 0, 0.006
Acid37, 0, 0, 0.011, 0.012, 0, 0, 0, 0, 0.006
Acid38, 0, 0, 0.012, 0.013, 0, 0, 0, 0, 0.01
Acid39, 0, 0, 0.036, 0.025, 0, 0, 0, 0, 0.008
Acid4, 0, 0, 0.013, 0.016, 0, 0, 0, 0, 0.012
Acid40, 0, 0, 0.013, 0.011, 0, 0, 0, 0, 0.007
Acid5, 0, 0, 0.03, 0.026, 0, 0, 0, 0, 0.008
Acid6, 0, 0, 0.313, 0.171, 0, 0, 0, 0, 0.015
Acid7, 0, 0, 0.016, 0.019, 0, 0, 0, 0, 0.011
Acid8, 0, 0, 0.071, 0.034, 0, 0, 0, 0, 0.011
Acid9, 1, 0.001, 0.014, 0.418, 1, 0, 1, 0.165, 0.844
Acti10, 0, 0, 0.266, 0.061, 0, 0, 0, 0, 0.006
Acti11, 1, 0.002, 0.015, 0.46, 1, 0, 1, 0.107, 0.903
Acti12, 0, 0, 0.014, 0.014, 0, 0, 0, 0, 0.01
Acti13, 0, 0, 0.009, 0.013, 0, 0, 0, 0, 0.008
Acti14, 1, 0.002, 0.592, 0.241, 1, 0, 1, 0.754, 0.257
Acti15, 0, 0, 0.018, 0.021, 0, 0, 0, 0, 0.012
Acti16, 0, 0, 0.006, 0.008, 0, 0, 0, 0, 0.003
Acti18, 0, 0, 0.011, 0.013, 0, 0, 0, 0, 0.008
Acti19, 0, 0, 0.009, 0.009, 0, 0, 0, 0, 0.006
Acti2, 0, 0, 0.018, 0.019, 0, 0, 0, 0, 0.014
Acti20, 0, 0, 0.021, 0.022, 0, 0, 0, 0, 0.011
