species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
AABM5X1, 0, 0, 0.01, 0.01, 0, 0, 0, 0, 0.009
AABM5X2, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.002
AABM5X3, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Abys1, 0, 0, 0.006, 0.003, 0, 0, 0, 0, 0.002
Acid1, 0, 0, 0.02, 0.009, 0, 0, 0, 0, 0.004
Acid10, 0, 0, 0.163, 0.005, 0, 0, 0, 0, 0.003
Acid11, 0, 0, 0.006, 0.009, 0, 0, 0, 0, 0.005
Acid12, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.003
Acid13, 0, 0, 0.008, 0.01, 0, 0, 0, 0, 0.007
Acid14, 1, 0, 0.215, 0.041, 1, 0, 1, 0.97, 0.038
Acid16, 0, 0, 0.008, 0.006, 0, 0, 0, 0, 0.004
Acid17, 0, 0, 0.022, 0.022, 0, 0, 0, 0, 0.006
Acid18, 0, 0, 0.009, 0.008, 0, 0, 0, 0, 0.006
Acid2, 0, 0, 0.007, 0.008, 0, 0, 0, 0, 0.004
Acid20, 1, 0, 0.008, 0.009, 1, 0, 1, 1, 0.003
Acid21, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.004
Acid22, 0, 0, 0.007, 0.007, 0, 0, 0, 0, 0.004
Acid23, 0, 0, 0.009, 0.01, 0, 0, 0, 0, 0.007
Acid24, 0, 0, 0.01, 0.015, 0, 0, 0, 0, 0.008
Acid25, 0, 0, 0.034, 0.01, 0, 0, 0, 0, 0.008
Acid26, 1, 0, 0.008, 0.02, 1, 0, 1, 0.167, 0.839
Acid27, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.004
Acid28, 0, 0, 0.982, 0.014, 0, 0, 0, 0, 0.009
Acid29, 0, 0, 0.005, 0.007, 0, 0, 0, 0, 0.005
Acid3, 1, 0, 0.974, 0.182, 1, 0, 1, 0.207, 0.797
Acid30, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Acid31, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.002
Acid32, 0, 0, 0.175, 0.014, 0, 0, 0, 0, 0.006
Acid33, 0, 0, 0.01, 0.009, 0, 0, 0, 0, 0.007
Acid34, 0, 0, 0.008, 0.01, 0, 0, 0, 0, 0.006
Acid35, 0, 0, 0.284, 0.081, 0, 0, 0, 0, 0.004
Acid36, 1, 0, 0.008, 0.002, 1, 0, 1, 1, 0.001
Acid38, 1, 0, 0.011, 0.006, 1, 0, 1, 1, 0.004
Acid39, 1, 0.006, 0.012, 0.348, 1, 0, 1, 0.278, 0.726
Acid4, 1, 0, 0.223, 0.045, 1, 0, 1, 0.005, 1.001
Acid40, 1, 0, 0.01, 0.007, 1, 0, 1, 1, 0.005
Acid5, 0, 0.001, 0.012, 0.01, 0, 0, 0, 0, 0.007
Acid6, 1, 0, 0.009, 0.027, 1, 0, 1, 0.972, 0.036
Acid7, 0, 0, 0.376, 0.058, 0, 0, 0, 0, 0.006
Acid8, 0, 0, 0.013, 0.013, 0, 0, 0, 0, 0.006
Acid9, 0, 0, 0.024, 0.006, 0, 0, 0, 0, 0.002
Acti10, 1, 0, 0.037, 0.073, 1, 0, 1, 0.214, 0.789
Acti11, 0, 0, 0.023, 0.025, 0, 0, 0, 0, 0.003
Acti12, 1, 0, 0.011, 0.006, 1, 0, 1, 0.999, 0.006
Acti13, 0, 0, 0.219, 0.035, 0, 0, 0, 0, 0.002
Acti14, 0, 0, 0.041, 0.028, 0, 0, 0, 0, 0.003
Acti15, 1, 0.002, 0.285, 0.26, 1, 0, 1, 0.982, 0.021
Acti16, 0, 0, 0.017, 0.009, 0, 0, 0, 0, 0.003
Acti18, 0, 0, 0.016, 0.013, 0, 0, 0, 0, 0.002
Acti19, 0, 0, 0.295, 0.021, 0, 0, 0, 0, 0.007
Acti2, 0, 0, 0.03, 0.022, 0, 0, 0, 0, 0.006
Acti20, 0, 0, 0.018, 0.015, 0, 0, 0, 0, 0.005
Acti21, 1, 0, 0.007, 0.007, 1, 0, 1, 1, 0.002
Acti22, 0, 0, 0.028, 0.02, 0, 0, 0, 0, 0.008
Acti23, 1, 0, 0.006, 0.049, 1, 0, 1, 0.288, 0.718
Acti24, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.001
Acti25, 1, 0.001, 0.029, 0.266, 1, 0, 1, 0.212, 0.791
Acti26, 0, 0, 0.124, 0.059, 0, 0, 0, 0, 0.002
Acti27, 0, 0, 0.005, 0.007, 0, 0, 0, 0, 0.004
Acti28, 3, 0.95, 0.778, 0.266, 1, 0, 3, 0.98, 0.82
Acti29, 0, 0, 0.006, 0.005, 0, 0, 0, 0, 0.005
Acti3, 0, 0, 0.252, 0.038, 0, 0, 0, 0, 0.004
Acti30, 0, 0, 0.007, 0.008, 0, 0, 0, 0, 0.006
Acti31, 0, 0, 0.196, 0.062, 0, 0, 0, 0, 0.004
Acti32, 1, 0.004, 0.959, 0.144, 1, 0, 1, 0.804, 0.197
Acti33, 1, 0.001, 0.016, 0.108, 1, 0, 1, 0.842, 0.165
Acti34, 0, 0.001, 0.182, 0.142, 0, 0, 0, 0, 0.003
Acti35, 0, 0.001, 0.852, 0.21, 0, 0, 0, 0, 0.001
Acti36, 1, 0.001, 0.167, 0.068, 1, 0, 1, 0.662, 0.341
Acti37, 1, 0.005, 1.205, 0.468, 1, 0, 1, 0.939, 0.06
Acti38, 1, 0, 0.732, 0.167, 1, 0, 1, 0.986, 0.019
Acti39, 0, 0, 0.183, 0.051, 0, 0, 0, 0, 0.005
Acti4, 0, 0, 0.121, 0.094, 0, 0, 0, 0, 0.013
Acti40, 0, 0, 0.502, 0.048, 0, 0, 0, 0, 0.003
Acti41, 1, 0.001, 0.991, 0.288, 1, 0, 1, 0.967, 0.04
Acti42, 0, 0, 0.158, 0.058, 0, 0, 0, 0, 0.006
Acti43, 1, 0.002, 0.704, 0.148, 1, 0, 1, 0.126, 0.877
Acti44, 0, 0, 1.012, 0.021, 0, 0, 0, 0, 0.006
Acti45, 0, 0, 0.821, 0.052, 0, 0, 0, 0, 0.001
Acti46, 1, 0, 0.981, 0.319, 1, 0, 1, 0.974, 0.031
Acti47, 1, 0, 0.057, 0.065, 1, 0, 1, 0.763, 0.237
Acti48, 1, 0, 0.596, 0.068, 1, 0, 1, 0.995, 0.009
Acti49, 1, 0, 0.799, 0.127, 1, 0, 1, 0.961, 0.041
Acti5, 0, 0, 0.013, 0.008, 0, 0, 0, 0, 0.006
Acti50, 1, 0, 1.241, 0.235, 1, 0, 1, 0.77, 0.233
Acti51, 0, 0, 0.007, 0.009, 0, 0, 0, 0, 0.006
Acti52, 1, 0, 0.02, 0.013, 1, 0, 1, 0.991, 0.014
Acti6, 0, 0, 0.043, 0.03, 0, 0, 0, 0, 0.005
Acti7, 1, 0.004, 0.053, 0.383, 1, 0, 1, 0.269, 0.734
Acti8, 0, 0, 0.01, 0.009, 0, 0, 0, 0, 0.007
Acti9, 0, 0, 0.006, 0.006, 0, 0, 0, 0, 0.005
Aero1, 0, 0, 0.008, 0.007, 0, 0, 0, 0, 0.003
Aqui1, 0, 0, 0.009, 0.009, 0, 0, 0, 0, 0.007
Aqui2, 0, 0, 0.012, 0.012, 0, 0, 0, 0, 0.01
Aqui3, 0, 0, 0.021, 0.007, 0, 0, 0, 0, 0.004
Aqui4, 0, 0, 0.008, 0.006, 0, 0, 0, 0, 0.002
Aqui5, 0, 0, 0.005, 0.002, 0, 0, 0, 0, 0.001
Aqui6, 0, 0, 0.01, 0.009, 0, 0, 0, 0, 0.004
Arma11, 0, 0, 0.005, 0.007, 0, 0, 0, 0, 0.004
Arma12, 1, 0, 0.008, 0.008, 1, 0, 1, 0.004, 1.002
Arma13, 0, 0, 0.011, 0.011, 0, 0, 0, 0, 0.005
Arma14, 0, 0, 0.01, 0.008, 0, 0, 0, 0, 0.007
Arma15, 0, 0, 0.01, 0.007, 0, 0, 0, 0, 0.004
Arma16, 0, 0, 0.007, 0.002, 0, 0, 0, 0, 0.001
Arma3, 0, 0, 0.005, 0.004, 0, 0, 0, 0, 0.002
Arma4, 0, 0, 0.007, 0.006, 0, 0, 0, 0, 0.004
Arma6, 1, 0, 0.005, 0.07, 1, 0, 1, 0.198, 0.806
Arma7, 0, 0, 0.009, 0.007, 0, 0, 0, 0, 0.003
Arma9, 0, 0, 0.052, 0.008, 0, 0, 0, 0, 0.002
Aure1, 0, 0, 0.012, 0.013, 0, 0, 0, 0, 0.007
Aure2, 0, 0, 0.007, 0.008, 0, 0, 0, 0, 0.002
Aure3, 1, 0.001, 0.023, 0.186, 1, 0, 1, 0.004, 1
B130X1, 0, 0, 0.158, 0.067, 0, 0, 0, 0, 0.005
BMS3X1, 0, 0, 0.137, 0.104, 0, 0, 0, 0, 0.004
Bact1, 0, 0, 0.008, 0.009, 0, 0, 0, 0, 0.006
Bact10, 0, 0, 0.006, 0.004, 0, 0, 0, 0, 0.001
Bact11, 0, 0, 0.003, 0.004, 0, 0, 0, 0, 0.001
Bact12, 0, 0, 0.01, 0.01, 0, 0, 0, 0, 0.009
Bact13, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Bact14, 0, 0, 0.005, 0.003, 0, 0, 0, 0, 0.003
Bact16, 0, 0, 0.01, 0.008, 0, 0, 0, 0, 0.005
Bact17, 0, 0, 0.008, 0.009, 0, 0, 0, 0, 0.004
Bact18, 0, 0, 0.006, 0.006, 0, 0, 0, 0, 0.003
Bact19, 1, 0.001, 0.184, 0.251, 1, 0, 1, 0.907, 0.096
Bact2, 0, 0, 0.001, 0.001, 0, 0, 0, 0, 0.001
Bact20, 0, 0, 0.008, 0.007, 0, 0, 0, 0, 0.006
Bact21, 1, 0, 0.055, 0.022, 1, 0, 1, 0.999, 0.003
Bact22, 0, 0, 0.009, 0.011, 0, 0, 0, 0, 0.005
Bact23, 1, 0.004, 0.011, 0.304, 1, 0, 1, 0.232, 0.773
Bact24, 0, 0, 0.008, 0.008, 0, 0, 0, 0, 0.007
Bact25, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Bact27, 1, 0, 0.478, 0.148, 1, 0, 1, 0.585, 0.417
Bact28, 0, 0, 0.236, 0.049, 0, 0, 0, 0, 0.002
Bact29, 1, 0, 0.012, 0.011, 1, 0, 1, 0.998, 0.007
Bact3, 0, 0, 0.011, 0.013, 0, 0, 0, 0, 0.009
Bact30, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Bact31, 0, 0, 0.006, 0.006, 0, 0, 0, 0, 0.004
Bact32, 0, 0, 0.002, 0.002, 0, 0, 0, 0, 0.001
Bact33, 0, 0, 0.007, 0.009, 0, 0, 0, 0, 0.006
Bact34, 0, 0, 0.067, 0.015, 0, 0, 0, 0, 0.002
Bact35, 0, 0, 0.631, 0.207, 0, 0, 0, 0, 0.007
Bact36, 0, 0, 0.469, 0.068, 0, 0, 0, 0, 0.005
Bact37, 0, 0, 0.013, 0.008, 0, 0, 0, 0, 0.006
Bact38, 0, 0, 0.006, 0.005, 0, 0, 0, 0, 0.004
Bact39, 0, 0, 0.006, 0.007, 0, 0, 0, 0, 0.005
Bact4, 0, 0, 0.023, 0.016, 0, 0, 0, 0, 0.006
Bact40, 1, 0, 0.504, 0.102, 1, 0, 1, 0.857, 0.147
Bact41, 1, 0.005, 0.45, 0.409, 1, 0, 1, 0.909, 0.088
Bact42, 0, 0, 0.009, 0.008, 0, 0, 0, 0, 0.002
Bact43, 1, 0.001, 0.019, 0.119, 1, 0, 1, 0.45, 0.554
Bact44, 1, 0.006, 0.917, 0.576, 1, 0, 1, 0.591, 0.407
Bact5, 0, 0, 0.008, 0.007, 0, 0, 0, 0, 0.003
Bact6, 0, 0, 0.015, 0.012, 0, 0, 0, 0, 0.004
Bact7, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.003
Bact8, 0, 0, 0.007, 0.009, 0, 0, 0, 0, 0.006
Bact9, 0, 0, 1.006, 0.013, 0, 0, 0, 0, 0.001
Bdell10, 0, 0, 0.01, 0.009, 0, 0, 0, 0, 0.003
Bdell11, 0, 0, 0.006, 0.004, 0, 0, 0, 0, 0.004
Bdell12, 1, 0, 0.012, 0.005, 1, 0, 1, 1, 0.003
Bdell13, 0, 0, 0.308, 0.133, 0, 0, 0, 0, 0.004
Bdell14, 0, 0, 0.004, 0.004, 0, 0, 0, 0, 0.002
Bdell15, 0, 0, 0.003, 0.002, 0, 0, 0, 0, 0.001
Bdell16, 0, 0, 0.003, 0.001, 0, 0, 0, 0, 0
Bdell17, 0, 0, 0.004, 0.005, 0, 0, 0, 0, 0.001
Bdell2, 0, 0, 0.012, 0.012, 0, 0, 0, 0, 0.005
Bdell3, 1, 0, 0.012, 0.011, 1, 0, 1, 1, 0.003
Bdell4, 0, 0, 0.007, 0.008, 0, 0, 0, 0, 0.005
Bdell5, 0, 0, 0.004, 0.003, 0, 0, 0, 0, 0.002
Bdell6, 0, 0, 0.018, 0.015, 0, 0, 0, 0, 0.004
Bdell7, 0, 0, 0.007, 0.007, 0, 0, 0, 0, 0.005
Bdell9, 0, 0, 0.007, 0.007, 0, 0, 0, 0, 0.005
BdellC1, 0, 0, 0.011, 0.012, 0, 0, 0, 0, 0.003
BdellC2, 0, 0, 0.01, 0.006, 0, 0, 0, 0, 0.002
Bipo1, 0, 0, 0.008, 0.008, 0, 0, 0, 0, 0.007
Bipo2, 0, 0, 0.005, 0.008, 0, 0, 0, 0, 0.004
CG267X1, 0, 0, 0.017, 0.014, 0, 0, 0, 0, 0.007
CG294X1, 0, 0, 0.016, 0.015, 0, 0, 0, 0, 0.006
CSP1X1, 0, 0, 0.003, 0.003, 0, 0, 0, 0, 0.003
Calda1, 0, 0, 0.005, 0.006, 0, 0, 0, 0, 0.004
Calda2, 0, 0, 0.002, 0.001, 0, 0, 0, 0, 0.001
Caldit1, 0, 0, 0.007, 0.008, 0, 0, 0, 0, 0.007
Caldit2, 0, 0, 0.007, 0.009, 0, 0, 0, 0, 0.007
Caldit3, 0, 0, 0.008, 0.008, 0, 0, 0, 0, 0.004
Camp1, 1, 0.001, 0.022, 0.129, 1, 0, 1, 0.941, 0.06
Camp10, 0, 0, 1.385, 0.187, 0, 0, 0, 0, 0.003
Camp11, 1, 0.003, 1.028, 0.479, 1, 0, 1, 0.269, 0.733
Camp12, 0, 0, 1.141, 0.163, 0, 0, 0, 0, 0.004
Camp13, 1, 0, 0.044, 0.051, 1, 0, 1, 0.936, 0.068
Camp14, 1, 0, 0.022, 0.038, 1, 0, 1, 0.807, 0.197
Camp15, 0, 0, 0.831, 0.041, 0, 0, 0, 0, 0.006
Camp16, 1, 0.002, 0.953, 0.247, 1, 0, 1, 0.8, 0.203
Camp2, 0, 0, 0.984, 0.048, 0, 0, 0, 0, 0.008
Camp3, 0, 0, 0.967, 0.123, 0, 0, 0, 0, 0.006
Camp4, 1, 0, 0.808, 0.185, 1, 0, 1, 0.944, 0.06
Camp5, 2, 0.105, 0.014, 0.446, 1, 0, 2, 1.314, 0.527
Camp6, 0, 0, 0.04, 0.034, 0, 0, 0, 0, 0.007
Camp7, 0, 0, 0.856, 0.064, 0, 0, 0, 0, 0.004
Camp9, 0, 0, 0.037, 0.029, 0, 0, 0, 0, 0.004
